,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3861610,1497282339,0xbfb71d3a787c267e4cf232fa2bd283a73e4d97265526f6a89acb56ce7bb9775f,20,0x007577ff6152e1336b0d8767ec51e1beca7238fe5990b26d5156dd044f9ebe3d,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,50000000000000000000,Bancor,BNT,18,84,165000,50000000000,91967,3134881,deprecated,12112253,50,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
1,3905147,1497995509,0x022ea3ab6e03d5c8c11c3e9b44d255d147c255103661b3ae50a7766bff6718d3,24,0x701428677d998134bb8541b879ab48c8403a0d0f37fe8eef0f9df00c374c80b0,0x0000000000000000000000000000000000000000,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,29000000000000000000000,StatusNetwork,SNT,18,37,179000,50000000000,124445,3212404,deprecated,12068716,29000,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
2,3905611,1498003833,0x0906f45835a9e2672b3a5314c4f6010e6a58e2bb126077c0bc9984ac80fd2aaf,25,0x30787f4a89f3073e78818ccf15ba68d49aea5c7e5db5548fa7c7fdf6a10a4bda,0x0000000000000000000000000000000000000000,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,60000000000000000000000,StatusNetwork,SNT,18,38,179000,50000000000,97140,3128167,deprecated,12068252,60000,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
3,3958034,1498917143,0x800fc351acb6870b7f6ba3bbd175f989f9138ad5e0ab255bafc2fefa8e0e7440,39,0x01c042f9cd12347965db4c4feddc2c352ae972c472bebce214d2f861b2aeca0e,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,306794497079251032175,EOS,EOS,18,29,200000,21000000000,82862,1399811,deprecated,12015829,306.794497079251032175,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
4,3958626,1498927759,0xd1769ae4acb2ea7d941edec5c1b8e8ff4a99d5b556114a2567366783f1baac57,438687,0x6040d5a1e4cccae878165675bc4f2a560d84547d13f165bb34c65cdec0ad2f75,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xa645264c5603e96c3b0b078cdab68733794b0a71,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,10212300000,Mysterium,MYST,8,123,202398,51000000000,52397,6527286,deprecated,12015237,1.02123E-8,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
5,3958633,1498927886,0x92d04de1bfb207ae6d41ece9a20b5ff4ebb577719d6a0eda9ea9b6984526dd61,40,0x735c5f6c3f39dbe8a18626768e709bb56e02f6a030ee0f62b310669c2ab7b4ce,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x56e99e37946dd463223a19a1965c0e4ed51fb0d9,200000000000000000000,EOS,EOS,18,47,60000,21000000000,55843,3322707,deprecated,12015230,200,sent,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
6,3968423,1499094999,0x3aa4a2718edadf7d3d6de3391d6475e87d34c09796a4ede1bf5609fc2aa6d39c,2492,0x665d48334d1a99c3d1fd2b8d773999b7c3308d36fb12f4485192ff41eb7af34c,0x41f3781ed8d9a926109ab6a9dba536a83ca50109,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,1260171110000000000000,EOS,EOS,18,146,150000,22651614524,40907,6474912,deprecated,12005440,1260.17111,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
7,3987717,1499426208,0xfabc10866da54156e36eb90c247d1a3965fd9979e5beeea82ae0df2819303b3c,42,0x967fe6357a3c4376a0fcdc6fb2267ee568a07c29f8ce2ecfdf2bc148ea507725,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,44861910403362441618,EOS,EOS,18,223,200000,21000000000,66253,5963151,deprecated,11986146,44.861910403362441618,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
8,4003199,1499693359,0x3d26555ca4f5329c13e2f72d81adbb3e158f30a80f799682f35ced22204d1078,3342,0x24204ee590dca3ed9f34fb8bdf20c6da4439c19d3c6ed1c7042a0eae676e9275,0x62eae029fe829fc66c953fa67e15761c941e23ce,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,999500000000000000000,OMG Network,OMG,18,116,150000,20000000000,52158,4731707,deprecated,11970664,999.5,received,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
9,4007496,1499775118,0x37a3c93317a03704dae3a29200bd5f99d7a3579bde2be9d5062c1a15c2127dbe,43,0x9c36da62d996f03c82797ce7b12e99e81eae663f265ea78f01e7b51de82f098e,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x9e797ade1e8c8c484ed75d3c7005959505133ee6,400000000000000000000,EOS,EOS,18,20,60000,17281250000,55843,1444129,deprecated,11966367,400,sent,0x089ffdde1f37b0f377b29be06f4dc9f8c75d75d6
