,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4160948,1502801761,0x12f6c54cff76c98568c1216b107627da0817bfc631459ba59b5381c1e57f6779,3110,0xcb06d0f2220f23e0d1f6930b27d4ece63febee8bb38e00a10c9bae5bbc466413,0xa869b2674914ec42b66dafe65acac797cd241cba,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,347000000000000000000,CoinDash Token,CDT,18,47,940000,21000000000,52779,1838488,deprecated,11812976,347,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
1,4286135,1505704855,0x21f7723d5c5774481369014fd795c2310d13583b9574e73b7a896b559de7ef67,2301,0xa3103ba7564fe64ff5a2576a3eb473e04699405be07b5980b9f9e92961b7073c,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,203272566869906264,OMG Network,OMG,18,86,3020000,4000000000,2930493,5678295,deprecated,11687789,0.203272566869906264,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
2,4364599,1507971281,0x6e71e89b64d042b690a252f0939af8511e7415762bec047fbd12cab8c5c418ad,625,0xc58f2ce9f17d200c961d880e05026f531ea197a3d63db7f3536d260ad6c57aea,0x72002915559a0b586e8b71349f15679a9e784d22,0xf8e386eda857484f5a12e4b5daa9984e06e73705,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,1000000000000000000,Indorse,IND,18,37,3800000,10000000000,3142476,4782662,deprecated,11609325,1,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
3,4437554,1509083628,0xb7a5004ba455b35d19ce1d111538ebfcbe84c59f66e7855608d9a54300ed53a2,2876,0xfa4cf19261453e5efe2a3a3948997514e8f43c636798fc1ac975c6b8aecd82b6,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,380122798779205054990,XENON,XNN,18,9,3200000,500000000,3131563,3398524,deprecated,11536370,380.12279877920505499,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
4,4449936,1509255655,0x95ded24aeaa712eb8454629c5523dec4aec48193677c3d846a5bce2c02313d90,384,0x5338d4116ba9eedf2f55c2d3756a0e6032dbd176a79fd726d4cbcc6ac32b561c,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,285670011067900914,Streamr (old),XDATA,18,39,4000000,2000000000,2888161,4432671,deprecated,11523988,0.285670011067900914,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
5,4530108,1510372438,0x92efb7087c601aa43ed42b2488e1ce2242ddc6de4a13b4003621bfbe5dcf8698,64,0xe1934923e1bc7a27e75cba90153565309af3636096f752232f7a7fc0c13ceced,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,53971208800000000000,VIU,VIU,18,5,3300000,200000000,3271036,3491005,deprecated,11443816,53.9712088,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
6,4633994,1511819427,0xcc4e4e47e83dc8d512ac46d52fa000efbad38577c100e149a6f210a815efb395,1505,0x67d002e0c9440570cd79b5687c2733539b92b80314f2a212b71751d76bc193f0,0x0000000000000000000000000000000000000000,0x52903256dd18d85c2dc4a6c999907c9793ea61e3,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,777,INS Promo,INSP,0,56,2000000,4000000000,1718179,5219765,deprecated,11339930,7.77E-16,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
7,4972442,1516919891,0x5c51938e2d5b532346381fac9cb8371123fd50dc6ae18a66ec0aaab5944ab2b9,7,0x1fee5700b71d875020683f66eff80430c22339cf059d89abbc47a5657753a9af,0xa7a245b72177641b7732044f5c542bb2844ce515,0x419c4db4b9e25d6db2ad9691ccb832c8d9fda05e,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,62000000000000000000,Dragon,DRGN,18,9,51883,40000000000,36883,345809,deprecated,11001482,62,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
8,4987607,1517139116,0xa8d464b5b5cec6d077220a8618789d847197990995a61001afc39145d1d3eba6,156592,0x13b1f56d9029390c92de593af18829129f95071828441f17dfed6c9a30d5cfeb,0x2984581ece53a4390d1f568673cf693139c97049,0x1844b21593262668b7248d0f57a220caaba46ab9,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,157060071510000000000,Oyster Pearl,PRL,18,124,250000,30000000000,53962,4858316,deprecated,10986317,157.06007151,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
9,5071336,1518358281,0x53c882e6175c60a701e16ce90e24b034dda457d95e86b126b5d7a453f71ddb93,5,0xc4be34bb580fa30b0f91383b8f8763889ceccaa91aae851f66407b0e5ce47ce0,0x0000000000000000000000000000000000000000,0x2008e3057bd734e10ad13c9eae45ff132abc1722,0x1056d364490079819ef9b1ac79188d70ebb8bc9a,4375800000000,Zebi Coin,ZCO,8,63,96441,40000000000,94196,2306237,deprecated,10902588,0.0000043758,received,0x1056d364490079819ef9b1ac79188d70ebb8bc9a
