,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3630170,1493613256,0x9edec89a8e51d2736900d15c841ff20b3974b546ffe6006f03ecd2c04cf54bc5,24438,0x3efea098262c6dee0fa6ffac0809821a5fa51f00b8b99b8960c18d3a4ec960ad,0x0536806df512d6cdde913cf95c9886f65b1d3462,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x165698e27726f37370430458a26faf60ce413a6d,497990000000000000000,Golem,GNT,18,83,90000,30000000000,51784,2970225,deprecated,12343807,497.99,received,0x165698e27726f37370430458a26faf60ce413a6d
1,3632656,1493652176,0xa9c6ce9e86665e906808ddc5b627a084b2bca5364ae1690140872106b209b321,50915,0xb92d05192fea2443fbb1d44097e7fecaf34c009ba14fc436c0cbd14caa5b5f9e,0xb2d955733e6a470533f68f72d0af442070f24f55,0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,0x165698e27726f37370430458a26faf60ce413a6d,5246518720000000000,Reputation,REP,18,27,360000,20000000000,52210,1014112,deprecated,12341321,5.24651872,received,0x165698e27726f37370430458a26faf60ce413a6d
2,3761277,1495653001,0xab7aaffc77304cb513085e0287615f9d7dfd0b52ce423e57cf289b315beb60dc,4,0xb5edbe754cfabfdd1a239f1d1a0d940ab8b087554c1879558a40978860ae8ae9,0x7cf10cb6b967a9fbba8624fe356705815e241f46,0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,0x165698e27726f37370430458a26faf60ce413a6d,10100000000000000000,Reputation,REP,18,7,150000,21000000000,37146,1195811,deprecated,12212700,10.1,received,0x165698e27726f37370430458a26faf60ce413a6d
3,3762628,1495674877,0xc8a4eaec9cdf7e3fb869e9543b3828e92aec32808c382c1e7625b8049d6a1d1f,8,0xedf91db525c396fe0d12cc62e04b4db024afa01dd0f500eeff62a079c0999350,0x165698e27726f37370430458a26faf60ce413a6d,0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,0x20b897d5718c6f6215a55f17637e6677321d775f,10100000000000000000,Reputation,REP,18,2,90000,24373799998,52146,110419,deprecated,12211349,10.1,sent,0x165698e27726f37370430458a26faf60ce413a6d
4,3762641,1495675099,0x4f480d3e2a5452df5a369dd1edf8705c9a3c9d85926215d4cbce8d643aa165a9,9,0xff444fb2aef06209e17b14b7209303b444cd45cd62d7896077966e7135329733,0x165698e27726f37370430458a26faf60ce413a6d,0x48c80f1f4d53d5951e5d5438b54cba84f29f32a5,0xb7547846b66ddc3a8b341bc293e53a3415001f87,5246518720000000000,Reputation,REP,18,0,90000,24373799998,37146,37146,deprecated,12211336,5.24651872,sent,0x165698e27726f37370430458a26faf60ce413a6d
5,3878203,1497553580,0xdaa4abdacb5bd0b658726d9ee7dd5b2cba3eabf6213c658c0d95eab0a159c784,14,0xe4b2274b61c325a6c059b82fd4447e3a23bb99511770d35b42b6136341446114,0x165698e27726f37370430458a26faf60ce413a6d,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x6562945705376442986a058583299cd7c2088163,497990000000000000000,Golem,GNT,18,7,90000,23100000000,36784,247306,deprecated,12095774,497.99,sent,0x165698e27726f37370430458a26faf60ce413a6d
6,4284523,1505666744,0xf6321891030e1ca2fa03a34db37502d872fa8bf0e409c4e0f9ea595a3118e173,1889,0x3735ef43090b64299b9b60042da3c3656fc8deb4ddbf6b00a3d1ace4b897ba8c,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,331998972210078829,OMG Network,OMG,18,28,3020000,4000000000,2915941,4429242,deprecated,11689454,0.331998972210078829,received,0x165698e27726f37370430458a26faf60ce413a6d
7,4300528,1506050799,0xff8885d06799769c6f4e7aed9e5d866e966df97036bba5ae6d5d8fe2e5fd35d9,1707462,0x992ca6b0bebcc425df6a6724cb713add118df75261451fae0ec2f798270a8890,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,900000000000000000,OMG Network,OMG,18,70,187095,51000000000,37094,2614477,deprecated,11673449,0.9,received,0x165698e27726f37370430458a26faf60ce413a6d
8,4300535,1506050977,0x36fe37726f0af950be3d41ebeb4218d80da2256200b63f87dc2179d1bb236a9a,1707476,0x2121d2ec7dbe5620b5b42bbe69d25380d0399c290e68425e97b9fbfa11888f18,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,798900000000000000000,OMG Network,OMG,18,28,187159,51000000000,37158,641714,deprecated,11673442,798.9,received,0x165698e27726f37370430458a26faf60ce413a6d
9,4300571,1506052219,0xd22108bb188fad79b0cb7adff87708338a703eaac5b84aafb9e08c8061c0e577,1707620,0x2b08e02c332217685fe0f571c8a4401230ea0a0856d580c088f8c383e3e5c2e7,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x960b236a07cf122663c4303350609a66a7b288c0,0x165698e27726f37370430458a26faf60ce413a6d,199300000000000000000,Aragon,ANT,18,8,256386,51000000000,106385,274385,deprecated,11673406,199.3,received,0x165698e27726f37370430458a26faf60ce413a6d
10,4332800,1507020118,0xc68b8d41780dbf030d5b9c9ad128cb1aa49859876730956f66fdcbff5a2a3035,1858806,0x621d4ceb40b814dd2af4b90fb4fe5310912f5baadf802ad41f2bb088728f9482,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0x165698e27726f37370430458a26faf60ce413a6d,1994000000000000000000,BAT,BAT,18,17,201853,31000000000,51852,696885,deprecated,11641177,1994,received,0x165698e27726f37370430458a26faf60ce413a6d
11,4332806,1507020371,0xcf116cd8c41ce9b7957b23532879cc182a12055f9af507c7703dd22eb5ffe0c9,1858849,0x54c88206068652caa159fd5e037261a54ba86d01515e1fc204d5b3d4a82455c5,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x165698e27726f37370430458a26faf60ce413a6d,1495500000000000000000,Golem,GNT,18,59,201785,31000000000,51784,2707737,deprecated,11641171,1495.5,received,0x165698e27726f37370430458a26faf60ce413a6d
12,4341230,1507272404,0x3cc455457016e928d2da2e6c9dc72b27b195e84d0ad7820fbe74f2daab9541a0,1898920,0xebab64acccb3852cc28c4073172ae5628b4f81e54cd99848aee82e5591130eb1,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,9900000000000000000,OMG Network,OMG,18,23,187095,31000000000,37094,1167091,deprecated,11632747,9.9,received,0x165698e27726f37370430458a26faf60ce413a6d
13,4341237,1507272646,0x754f16a385fcbcc283ac73abf65882d9502414bbe9b5a8be077febd145384424,1898959,0x33c19c250d77331e9f8daab9be8cbbec48bebe3e2548aafdfe105fef1585b62d,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,344450133170000000000,OMG Network,OMG,18,27,187223,31000000000,37222,1163906,deprecated,11632740,344.45013317,received,0x165698e27726f37370430458a26faf60ce413a6d
14,4373644,1508194858,0xcde8d1b37bd5080e6d102f029fbc26ca4ff7117af5a8eb7bb8fa8307c003cb10,3715,0x774a4a9ac2b9bc885195f24e108eec019feb668754bb560128a9687e0729ec4b,0x0a860fbdbb2a9acb0fe1d7c7da1b35c2cf1be751,0xb9b4cfe4194d7e8511aa9b9f1260bc7b9634249e,0x165698e27726f37370430458a26faf60ce413a6d,100000000,REGA Risk Sharing preICO Token,RST-P,10,65,200000,2000000000,51908,3331341,deprecated,11600333,1E-10,received,0x165698e27726f37370430458a26faf60ce413a6d
15,4374048,1508200338,0xe331033348f42833f9dd637e2dbc0d41df10ae749c4589f8ad91a1f8f104036b,2044122,0xd8ee9212143301a906493b8755c26a1f1470913ccd0870518d08759a554bd8f3,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,699316207130000000000,OMG Network,OMG,18,11,187222,31000000000,37222,734300,deprecated,11599929,699.31620713,received,0x165698e27726f37370430458a26faf60ce413a6d
16,4394911,1508492723,0xfcdd7b0c980e1f9696a0ecb5f378462ef4631a55e26a10a3971d70cc6a95b002,3421,0x8310a3aeceb31897aa128806bc48b58efbb2957bf4c5acd709af07b074e00696,0x06627a06cc622be719833c2cf6ea08ceda43d5a3,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0x165698e27726f37370430458a26faf60ce413a6d,9900000000,ATMChain,ATM,8,59,80000,5000000000,51834,3810914,deprecated,11579066,9.9E-9,received,0x165698e27726f37370430458a26faf60ce413a6d
17,4423761,1508890783,0x7683b430fd5e9b53cd70a1e0d68045827972a09a103f3bd84fb5fe8388a0aa41,56,0x4932aad72b74f161ac82d817dc881b2f60c22816da59e3181bb7f61835ff926e,0x160e529055d084add9634fe1c2059109c8ce044e,0xdb455c71c1bc2de4e80ca451184041ef32054001,0x165698e27726f37370430458a26faf60ce413a6d,500000000000000000,Jury.Online,JOT,18,5,6500000,3000000000,5991180,6096180,deprecated,11550216,0.5,received,0x165698e27726f37370430458a26faf60ce413a6d
18,4433670,1509030523,0x88607ce986e4cf89d2022ba2b97c43c746047341ae4c354a06baa3e51cb9d362,2211,0x09da05c54df61f11582752b16ba71fdffe529e6efb9738b1d859283024036a39,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x165698e27726f37370430458a26faf60ce413a6d,510879699888009529460,XENON,XNN,18,47,3200000,500000000,3131627,6439374,deprecated,11540307,510.87969988800952946,received,0x165698e27726f37370430458a26faf60ce413a6d
19,4439508,1509110980,0x58ad680bc7eb1f9b3c805fac2ee266cf03dfd50ae9bc2f4d8ffd5773731f8e26,352,0xe97dc330e73ab24877ff4d28dad3e5326b410cbad626435d50f5cee0282c7d8b,0x160e529055d084add9634fe1c2059109c8ce044e,0xdb455c71c1bc2de4e80ca451184041ef32054001,0x165698e27726f37370430458a26faf60ce413a6d,500000000000000000,Jury.Online,JOT,18,1,6500000,4000000000,5825860,5865372,deprecated,11534469,0.5,received,0x165698e27726f37370430458a26faf60ce413a6d
20,4449276,1509246449,0x0426a6054fc8168e4e8ff4af21b3bbea2c21c2b1b85d57952bb93fec599a7061,15,0x16108c96bc9ae0d1fd72cff809594dba203ffe52fe1537da049c0ee89e1589f4,0xda7744a0057d37948873e35616b463d60facb0ab,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x165698e27726f37370430458a26faf60ce413a6d,15070583027084987078,OMG Network,OMG,18,15,37222,21000000000,22222,855186,deprecated,11524701,15.070583027084987078,received,0x165698e27726f37370430458a26faf60ce413a6d
21,4449406,1509248579,0x4ff7d15a7dbef1e18e9c23cdbfc64ac159b907f80c6d5c6a436fc269bdc5763f,2220912,0xba139ab7092a02c4caa814ea87c5bc7aca56f52509334020efb18b7c200e09a2,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x4156d3342d5c385a87d264f90653733592000581,0x165698e27726f37370430458a26faf60ce413a6d,12257607435,Salt,SALT,8,27,201522,20000000000,51522,1103817,deprecated,11524571,1.2257607435E-8,received,0x165698e27726f37370430458a26faf60ce413a6d
