,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4030959,1500222120,0x66060680cbe1f758edb84eb359dce8a01e9a2687ae869404ca459bd0b1d3b843,1004,0x47180278bd5f81ad9f85e60389dc79507c8e9b873e0218e48946260993a10cd4,0x2323763d78bf7104b54a462a79c2ce858d118f2f,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x1714a6bc35230d6bc67d98baac13189a710528bd,5000000000000,Civic,CVC,8,80,185971,31500000000,85971,6489348,deprecated,11943026,0.000005,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
1,4047060,1500527356,0xe3bb542a5eeffc19b5444890407239e0351958f80d9c8577d99b931557e0d8f6,7,0xf51ef659b7c2c1bd9e1906a69f4e6b3651d01881218384cda403bbcac477235e,0x1714a6bc35230d6bc67d98baac13189a710528bd,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0xe2180e470c5c0025600516740ed1b39d02febdc8,100000000,Civic,CVC,8,1,200000,31000000000,51587,72587,deprecated,11926925,1E-10,sent,0x1714a6bc35230d6bc67d98baac13189a710528bd
2,4047074,1500527586,0x511affd108c9fdba49e587c09be54f24cdb0601e2a1923262491cb45a2abead7,8,0x156e2de2cc403998009360b06e50411e520ceb07b225625562fac182a1351efd,0x1714a6bc35230d6bc67d98baac13189a710528bd,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0xe2180e470c5c0025600516740ed1b39d02febdc8,1000000000000,Civic,CVC,8,6,200000,31000000000,36651,2179244,deprecated,11926911,0.000001,sent,0x1714a6bc35230d6bc67d98baac13189a710528bd
3,4047087,1500527878,0x07503fe508bfa0fad082f5b7361ba7b35e29fbf7039b6a0c1ffc2b3826edf90e,9,0xeeee666b040e3945e423013ba28fccc65bf36da72f3ce46bad35a4bdce32fb97,0x1714a6bc35230d6bc67d98baac13189a710528bd,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0xe2180e470c5c0025600516740ed1b39d02febdc8,999900000000,Civic,CVC,8,12,200000,31000000000,36651,427284,deprecated,11926898,9.999E-7,sent,0x1714a6bc35230d6bc67d98baac13189a710528bd
4,4176166,1503118411,0x8f4f26a291ed57b21d2fea67b33457b966c29834ae1dd55e08c997d0dd904897,21,0x5ebaef91b7d5389e9c2d0b34c36499b2f841057b5bad67ec5f67b9c247d5de59,0xe2180e470c5c0025600516740ed1b39d02febdc8,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x1714a6bc35230d6bc67d98baac13189a710528bd,5000000000000000000,StatusNetwork,SNT,18,31,103436,31000000000,103435,1068261,deprecated,11797819,5,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
5,4176187,1503118808,0x5c764bc2d3d33b674fc356524b14fa744ebd46aced1a7196ace470993430a03b,22,0x056015a75ce115396cc04f86934f5ac7d56b277dcce4e399172b685f9cdd6d5f,0xe2180e470c5c0025600516740ed1b39d02febdc8,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x1714a6bc35230d6bc67d98baac13189a710528bd,44995000000000000000000,StatusNetwork,SNT,18,26,91259,31000000000,91258,3967087,deprecated,11797798,44995,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
6,4176212,1503119220,0xc935f0be120450e2bf2911e5324f4a4ae398ba88dd8f0835aef9c2ff7ec1f28e,23,0xa98306a37926ba61a03d5d11b10d188402c4ce5ecc9874a074cc8ea3c1420d0a,0xe2180e470c5c0025600516740ed1b39d02febdc8,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1714a6bc35230d6bc67d98baac13189a710528bd,450000000000000000000,Bancor,BNT,18,3,52409,31000000000,52408,132308,deprecated,11797773,450,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
7,4176252,1503120047,0x2f5b57970c60161aaa69a28e0f70a646aabd6ed85c5d8aebaffdfa1a1ea7bfd7,1009329,0xd6edc440e8a21606ac8a932ddb833a5d5fcda280ebc5b3ab99c02fed13e3aa43,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,0x1714a6bc35230d6bc67d98baac13189a710528bd,499000000,Patientory,PTOY,8,5,202334,33000002006,52333,218207,deprecated,11797733,4.99E-10,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
8,4176275,1503120598,0xc1d39a7509a737c2a2ca350b81c95899c769b6378ee8cb499f61b81c97213de0,1009405,0x56dc95f22474e470d0011c3a61dfdbea0ce700f760b5e2bcd8d28de8ee55c8bc,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x8ae4bf2c33a8e667de34b54938b0ccd03eb8cc06,0x1714a6bc35230d6bc67d98baac13189a710528bd,407499000000,Patientory,PTOY,8,12,187398,31500000000,37397,289397,deprecated,11797710,4.07499E-7,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
9,4243551,1504676933,0x5873fc273a5504d1171ab856c5e27095a666c154ebe630ce40edd292230f5558,15,0x2a6fc81f91d67e3f09a5b5af16b27b3dd9d71f0aa82d3bd7b0c7b7da955ff5b0,0x1714a6bc35230d6bc67d98baac13189a710528bd,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x238391d6c4118094eccdc47b149684e2adaf0337,500000000,Civic,CVC,8,100,51652,15000000000,51651,6440104,deprecated,11730434,5E-10,sent,0x1714a6bc35230d6bc67d98baac13189a710528bd
10,4243607,1504678202,0x7cf566cecb58623bc9a83a481cc8a29cd277010a56353efe80a9a15abc9ae944,16,0x966bbd52f31d483765329d55ddd8a1911561f35b52ecd122abbbd88bcb1178fb,0x1714a6bc35230d6bc67d98baac13189a710528bd,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x238391d6c4118094eccdc47b149684e2adaf0337,1499500000000,Civic,CVC,8,53,51780,20000000000,51779,1943802,deprecated,11730378,0.0000014995,sent,0x1714a6bc35230d6bc67d98baac13189a710528bd
11,4278918,1505532258,0x40b11d1f7abe682e8274a53d6416bbd78ea961da520b6063f15ab4e1bdd01c20,886,0xac1c11b33141b60bdbeb1cdd0ce31343ae85ac4f0ed449bea26aad16d44c4a7f,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x1714a6bc35230d6bc67d98baac13189a710528bd,1452383852440425187,OMG Network,OMG,18,61,3020000,4000000000,2900621,5672952,deprecated,11695067,1.452383852440425187,received,0x1714a6bc35230d6bc67d98baac13189a710528bd
