,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3944896,1498690709,0x93313b4bb689f638d279da4182cd7aee9f4a7c658bfda3f9715d388e4d135ae3,1081,0x859e78e5c1394c85195f25fbe0f41facea206f5f923baf666f61e98e7463b350,0x2840c1162114780f3b617b030621022571c2bcb0,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,534600000000000000000000,StatusNetwork,SNT,18,74,110000,6000000000,82879,2991783,deprecated,12029099,534600,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
1,4060931,1500787196,0xe6dcdf69cab1ecc30fad790f6de92c852772e9d634716d326256495c182bffcd,4440,0x878dbc69470b4fcf5f21d24c684b5f137654dd794167964fc83c9830d11a6940,0x62eae029fe829fc66c953fa67e15761c941e23ce,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,4500000000000000000,OMG Network,OMG,18,115,150000,20000000000,52094,5410548,deprecated,11913064,4.5,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
2,4060962,1500787802,0xf386c4ae21784bcb75b95761789fac5f79c8e03ba5dde7b9c5bf86070eb419a5,1694,0x2011d28fbe692b90dd0cf6f8ea85904950f7ffa9836c968f3c04df72c7b3bcf9,0x2473b90ca30b0977d9ebb5087e01b67bcf6212c8,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,4500000000000000000,TenXPay,PAY,18,27,150000,20000000000,37001,1396937,deprecated,11913033,4.5,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
3,4065178,1500865577,0x1ed620728eb07cab354e6ba8c57b5cbb23d89536e84723e374010f0910297fec,4542,0xd05b32f4cc9493df045093edb48b0a01f5dc16be5598affc709b544dc7b25e4a,0x62eae029fe829fc66c953fa67e15761c941e23ce,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,994500000000000000000,OMG Network,OMG,18,102,150000,21384329217,37158,4661585,deprecated,11908817,994.5,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
4,4065766,1500876620,0x4d8b14be54560ecd77911ef0ce8cfac932a3653f02aeef490fe08d14dbf8a31c,1747,0x490781ffb26e5306e24dfc3b415aa13f5017d4dfa8daa62c27b1018a91dadd1c,0x2473b90ca30b0977d9ebb5087e01b67bcf6212c8,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,8394500000000000000000,TenXPay,PAY,18,29,150000,20000000000,37129,1190525,deprecated,11908229,8394.5,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
5,4181367,1503225730,0xf7a87c8824436df2b2fead71416b26c010bfb15a5160534290e8d715eb4bf4d0,151,0x4fab06ad4a790a07f5a91d5e576c970305a93302ad16b3ad3ee219413a0e1872,0x04376c5cfbc13a6bcc523814b4e38119fa3b8ba9,0x4238c2e2e9e387b6feb23acbb81b3b6dea648b8d,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,157585000000,XuanCoin,XNC,6,53,60000,6023880704,51812,2098296,deprecated,11792628,1.57585E-7,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
6,4182212,1503242870,0xbcc1ea0c8d5b22cdd19cab9303a1c6099b7fbf2e5005ebf2feb9a970ad573b7b,14,0x695a6e7a3045a76f132295beb7a9d7b9bcc1406a673f34cb6ba31427646beacc,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,0x4238c2e2e9e387b6feb23acbb81b3b6dea648b8d,0x0cdca6fe06049c85dbecbf5dd9eccd163348cc60,157585000000,XuanCoin,XNC,6,77,60000,21000000000,36812,3101506,deprecated,11791783,1.57585E-7,sent,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
7,4208739,1503821881,0xa2cf34a937989ea575ae7db045a310add8861edfb60002a2b722437c318937d7,5592,0xb63f0282c88999c9876ff669ee628bb026b6f5045ed03e7013530ec0a2718186,0x62eae029fe829fc66c953fa67e15761c941e23ce,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,999500000000000000000,OMG Network,OMG,18,107,150000,21000000000,37158,6278444,deprecated,11765256,999.5,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
8,4234924,1504465817,0x57ad868ca1c1b7cf217d21a7b87d49e3255540922c02c4dbec8b3ab6f1014801,500,0xcb1bf5ead7a05d34fdea7da195de8053160114b169ef87e0ab33d50f80743ae0,0x88e18c94a85dbd2d0974d70eac41c9f730aa6553,0x96a65609a7b84e8842732deb08f56c3e21ac6f8a,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,1300000000000000000,Centra,CTR,18,44,200000,35000000000,52579,1645028,deprecated,11739071,1.3,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
9,4243256,1504669359,0xeb5050b8dcd0fe4852a7675fc2416c5ca54e0545af2af9abd45cd5bc5327e848,136307,0x0633d99d98b67d98be1b3188d3423f161fff18fdf3be8475467b83a6ced10818,0xb3f636cae9e8ad9795d14d3bdda3e382dba47c73,0x4238c2e2e9e387b6feb23acbb81b3b6dea648b8d,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960,61699239000,XuanCoin,XNC,6,55,300000,38701598799,51812,2173828,deprecated,11730739,6.1699239E-8,received,0x18958b7ec1f0d8104cd9bbfb1b7a8e286c1ad960
