,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,13580066,1636432041,0xe0732eeae538444d234702576104fb2f958084b15411a62cab3f4ea598ed2262,210,0x7379287921a92dbe328f18333c0a05bea1af3989208bb5893dbfcb82e88c519b,0x41352552f4df7c6b49846b80beb755de11a48b85,0x6b175474e89094c44da98b954eedeac495271d0f,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,188782079194980322808677,Dai Stablecoin,DAI,18,404,77781,213676477609,47054,29249461,deprecated,2393177,188782.079194980322808677,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
1,13582073,1636459867,0xe0049e910ff7dee482d3a6974802af2b94ff29ed5bb0ff83f6e534132d2c86be,50,0x6bfab65bef87e679a809632d47cef1be816430b770c33460d25aa526b7f74e60,0x831006ce093175bb47ff4e7bc12226f8423e5262,0x26fa3fffb6efe8c1e69103acb4044c26b9a106a9,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,50027699060971126595285,Staked Spell Tokens,sSPELL,18,137,78519,122942241403,52346,11266481,deprecated,2391170,50027.699060971126595285,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
2,13582170,1636461160,0x0828330877d042bae1ac289771d64be587f8712b88f73a769c0189383cb9de0a,4,0xb3e027c51a5ee334bc1f447e28c5984f6cb3be954d37db6ce9a7a028a026a8b9,0x5e03b07ae157ee1ca5bf2f3cbe5bc8dc38f3e965,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,230000000000000000,Wrapped Ether,WETH,18,386,307996,158068938663,227179,27602442,deprecated,2391073,0.23,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
3,13582170,1636461160,0x0828330877d042bae1ac289771d64be587f8712b88f73a769c0189383cb9de0a,4,0xb3e027c51a5ee334bc1f447e28c5984f6cb3be954d37db6ce9a7a028a026a8b9,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,23000000000000000,Wrapped Ether,WETH,18,386,307996,158068938663,227179,27602442,deprecated,2391073,0.023,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
4,13582175,1636461274,0x79943d21964154bb7d80cbda0400c927d95fb18ed210a0081edb2abc7f4f24ad,5,0x1498600a155d11113fd6a9099525f796aa027abe203728b6f1077e36d9fdcd55,0x6ccc566d56645b2867baa22db0eacc7532548e4a,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,158000000000000000,Wrapped Ether,WETH,18,192,263536,184124893121,192979,11964356,deprecated,2391068,0.158,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
5,13582175,1636461274,0x79943d21964154bb7d80cbda0400c927d95fb18ed210a0081edb2abc7f4f24ad,5,0x1498600a155d11113fd6a9099525f796aa027abe203728b6f1077e36d9fdcd55,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,15800000000000000,Wrapped Ether,WETH,18,192,263536,184124893121,192979,11964356,deprecated,2391068,0.0158,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
6,13582196,1636461604,0x09bfdbb869ef2b4e596719b374ea54d3a72f5bac56a76673649c9d724e1c60b4,7,0x64be36d1fc098451549548df28291d57d7603f4869b663ab19174981836c326c,0x23af5518409043cf8e438ca96e2bff719442dea3,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,122000000000000000,Wrapped Ether,WETH,18,125,285751,178003795146,210067,9063244,deprecated,2391047,0.122,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
7,13582196,1636461604,0x09bfdbb869ef2b4e596719b374ea54d3a72f5bac56a76673649c9d724e1c60b4,7,0x64be36d1fc098451549548df28291d57d7603f4869b663ab19174981836c326c,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,12200000000000000,Wrapped Ether,WETH,18,125,285751,178003795146,210067,9063244,deprecated,2391047,0.0122,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
8,13582308,1636462993,0xd9add066a8febe073283a2226562185b5ec67fd798e0dc05622866895f8df5ca,13,0x32112a1e2f0b71c224ba607a69212d46885cfc7d3797146dd75838e3167e41b8,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x74de5d4fcbf63e00296fd95d33236b9794016631,459000000000000000,Wrapped Ether,WETH,18,152,217614,147886724648,165801,12311475,deprecated,2390935,0.459,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
9,13582308,1636462993,0xd9add066a8febe073283a2226562185b5ec67fd798e0dc05622866895f8df5ca,13,0x32112a1e2f0b71c224ba607a69212d46885cfc7d3797146dd75838e3167e41b8,0x74de5d4fcbf63e00296fd95d33236b9794016631,0x6b175474e89094c44da98b954eedeac495271d0f,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,2180206708122266300000,Dai Stablecoin,DAI,18,152,217614,147886724648,165801,12311475,deprecated,2390935,2180.2067081222663,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
10,13582323,1636463313,0x6a6ff25ec60208111b3b82ed1213c8b42af8278a7e4fcc9d8a8708b4c530386a,14,0x13fb1bf32cea3b81f57b3af223082bb2df1cbb55a041ecd19e5d7d1912311deb,0x26fa3fffb6efe8c1e69103acb4044c26b9a106a9,0x090185f2135308bad17527004364ebcc2d37e5f6,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,55244561138023645662702,Spell Token,SPELL,18,193,70108,204503690742,64308,13816302,deprecated,2390920,55244.561138023645662702,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
11,13582323,1636463313,0x6a6ff25ec60208111b3b82ed1213c8b42af8278a7e4fcc9d8a8708b4c530386a,14,0x13fb1bf32cea3b81f57b3af223082bb2df1cbb55a041ecd19e5d7d1912311deb,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0x26fa3fffb6efe8c1e69103acb4044c26b9a106a9,0x0000000000000000000000000000000000000000,50027699060971126595285,Staked Spell Tokens,sSPELL,18,193,70108,204503690742,64308,13816302,deprecated,2390920,50027.699060971126595285,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
12,13582348,1636463567,0xa4698f06b775d710a82d34660115c11fbaff325d1cb0050bd66bc9000ab46354,16,0xa2bbcd238bba2642718d63fe0d141adf9582e851026a71ef37b1c684f7984dd2,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0x090185f2135308bad17527004364ebcc2d37e5f6,0xfebf38b1d34818d4827034f97b7d6d77c79d4997,55244561138023645662702,Spell Token,SPELL,18,305,238185,133164084373,171162,21344860,deprecated,2390895,55244.561138023645662702,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
13,13582348,1636463567,0xa4698f06b775d710a82d34660115c11fbaff325d1cb0050bd66bc9000ab46354,16,0xa2bbcd238bba2642718d63fe0d141adf9582e851026a71ef37b1c684f7984dd2,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,1338018637563922870071,Dai Stablecoin,DAI,18,305,238185,133164084373,171162,21344860,deprecated,2390895,1338.018637563922870071,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
14,13582356,1636463678,0x6b137b5d3f4474d7a3de9a58e5adc94181de7cd177e71da31e943deeee43c2ac,17,0xe67bfaab61da69b2c36a822bed2418e6b442dad5cab693bf557bc38e11ca719a,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,4795787436301557406575,Dai Stablecoin,DAI,18,348,153000,143411438234,104386,28168815,deprecated,2390887,4795.787436301557406575,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
15,13583187,1636475206,0xb295e85f71b1b6bbef9291386a474766d5e5947c872508c5235e780274156f50,2,0x2af41817cd22fd017c237fd254e06c73590118edf43ba474650dcf356dd26eb2,0x74f6acc91d910de27fbe0d879e543d85ab375d54,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,47423180044821255191,Ethereum Name Service,ENS,18,26,100000,207361628693,52333,1248339,deprecated,2390056,47.423180044821255191,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
16,13583206,1636475407,0x22ca6ecc59fc66bcab387a47e804765c290d8e88263fa7ea44738609c27c33cc,19,0xf8d352a55e52b92ac6e93f2d10a15884e3533728c39a9a33d400d5866b8ff36e,0xdd4184f6b7e35c4ac0ae6de00b19e6ec94ba7cec,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,2658000000000000000,Wrapped Ether,WETH,18,121,310885,156692911499,229401,14790797,deprecated,2390037,2.658,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
17,13583206,1636475407,0x22ca6ecc59fc66bcab387a47e804765c290d8e88263fa7ea44738609c27c33cc,19,0xf8d352a55e52b92ac6e93f2d10a15884e3533728c39a9a33d400d5866b8ff36e,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0x5b3256965e7c3cf26e11fcaf296dfc8807c01073,332250000000000000,Wrapped Ether,WETH,18,121,310885,156692911499,229401,14790797,deprecated,2390037,0.33225,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
18,13583221,1636475568,0x76d5b375a698007ec8ea6569cbd709e320a9da75a5392cc5926479e07a5a5b5e,22,0x165dde642bdca0423c6968ffea90ea3b4e2c08aa4b25ec895f1ca24d65007c74,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,0xc18360217d8f7ab5e7c516566761ea12ce7f9d72,0x92560c178ce069cc014138ed3c2f5221ba71f58a,47423180044821255191,Ethereum Name Service,ENS,18,329,245335,165851769614,180992,21257625,deprecated,2390022,47.423180044821255191,sent,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
19,13583221,1636475568,0x76d5b375a698007ec8ea6569cbd709e320a9da75a5392cc5926479e07a5a5b5e,22,0x165dde642bdca0423c6968ffea90ea3b4e2c08aa4b25ec895f1ca24d65007c74,0x60594a405d53811d3bc4766596efd80fd545a270,0x6b175474e89094c44da98b954eedeac495271d0f,0x20c6082fcdfc4304fd203d0bf240abc3e439f885,1898033115276269871254,Dai Stablecoin,DAI,18,329,245335,165851769614,180992,21257625,deprecated,2390022,1898.033115276269871254,received,0x20c6082fcdfc4304fd203d0bf240abc3e439f885
