,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,12605498,1623311016,0x34e3f6d0cb883e822d0003b20e586294da53ea76e5e3f58f5f796119ac529f08,130003,0x8286dd634b7bef50a069df79abcd8b60604ee7e03e339ab55935cb14935a2794,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,32334036220000000000000000,SHIBA INU,SHIB,18,178,72895,13765625000,54095,10106056,deprecated,3368001,32334036.22,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
1,12607968,1623344318,0x0ea8f05d373656631b6ebddc1eb2b0d688a8f84b9d909b02436aa17accab5fab,130112,0xe10bc29a035b97fd75ec14b15b3ec3f891fddd81c5f6f8694cd125765f205869,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,325524970220000000000000000,SHIBA INU,SHIB,18,263,55807,45700000000,37007,14741847,deprecated,3365531,325524970.22,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
2,12608083,1623345695,0xf00bd01953ecb8bf15ea930fa37fa2e73e9c5a063bcf1857620a9a942bbd5ef1,2456892,0x928a1743df264220600476ec7b3a480856816c9e9d78c86ac7a01bf50cf7a81d,0x46340b20830761efd32832a74d7169b29feb9758,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,116816317289500000000000000,SHIBA INU,SHIB,18,70,350000,17000000000,34807,5928000,deprecated,3365416,116816317.2895,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
3,12608270,1623347951,0xaf6a7ccdb5dc5aae4c7d0c53da45a00926d106e7aff7606ca12860740089e1d0,2456978,0x1a886914064a4f8e35664d462f7c486f06e88e3afe324ee1bb48a566a3cc01f9,0x46340b20830761efd32832a74d7169b29feb9758,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,29000000000000000000,Uniswap,UNI,18,221,350000,23000000000,57206,13786090,deprecated,3365229,29,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
4,12622731,1623541676,0xfbd39c465ff376117e5bb18e4f92b832950d7619482d42e88ac0614552641afd,2473888,0x69a5e2b7ddbf836752146de59311f5e8d2c5375e1760372fead2ca53c5fa8467,0x46340b20830761efd32832a74d7169b29feb9758,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,95000000000000000000000000,SHIBA INU,SHIB,18,49,350000,13000000000,34783,2638158,deprecated,3350768,95000000,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
5,12641634,1623793936,0x930248cd35998bea46f539b5f2b0fde101334982125766eb1c0de86ca7749d94,131928,0xa6172587e107af3f4b0f34d3e8dbd38a516acefc103269f937865b79897e70f9,0x6cc8dcbca746a6e4fdefb98e1d0df903b107fd21,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,126276729220000000000000000,SHIBA INU,SHIB,18,81,55795,22000000000,36995,5318480,deprecated,3331865,126276729.22,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
6,12642188,1623801524,0xf3020168e9ab416ad748f11e64f32ac2c7673db58d2c74c35c628a7d5e3878c4,2494773,0x3d3e8cd310ddd698f492ff9dff756c84691a7689f7aadd4cdf6c6b69f2e3aa11,0x46340b20830761efd32832a74d7169b29feb9758,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,265000000000000000000000000,SHIBA INU,SHIB,18,81,350000,10000000000,34783,6414548,deprecated,3331311,265000000,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
7,12643245,1623815839,0xb1cfa5147774021f03b833bd68c20a045f4e170a39bb89dbaca7171e14cf0d31,2496343,0x687ee2da75a52be494c73ec65f670f13552f6b6349589cb1fc0b361523783acc,0x46340b20830761efd32832a74d7169b29feb9758,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,35000000000000000000000000,SHIBA INU,SHIB,18,74,350000,8000000000,34783,4794789,deprecated,3330254,35000000,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
8,12643708,1623822192,0x0047305b4d67fb9f1d2515c52addea9bb242867a89b68f90320bc889024e55de,2496811,0x2639b8797f6ad133af1e9daef79438bf91e4832063aa3ca4c837e36176236278,0x46340b20830761efd32832a74d7169b29feb9758,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,10000000000000000000000000,SHIBA INU,SHIB,18,60,350000,10000000000,34783,3974439,deprecated,3329791,10000000,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
9,12783688,1625705935,0xef21b442c96ffddf8f95f916ff345bc4843514225f8843b208eb5399d2df1011,2,0xce18af5b3f10671dda76084930f255eac8eeb055480c96cf3ec3d70b0d206159,0x0000000000000000000000000000000000000000,0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,754462324107714885959018787,xShib Staked Shiba Inu,xSHIB,18,40,76067,34100000000,75859,2892172,deprecated,3189811,754462324.107714885959018787,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
10,12783688,1625705935,0xef21b442c96ffddf8f95f916ff345bc4843514225f8843b208eb5399d2df1011,2,0xce18af5b3f10671dda76084930f255eac8eeb055480c96cf3ec3d70b0d206159,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,754464039712124943733215332,SHIBA INU,SHIB,18,40,76067,34100000000,75859,2892172,deprecated,3189811,754464039.712124943733215332,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
11,12783765,1625707252,0xcf06def8069adae4c5b15550f9ab7c55266ce1df60a60d47771c8bd351d828d6,4,0xe9a7e392d1ede226e4e606370879dac02b76d1d7c7ed75506ff0156c57212abe,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,0x9d406c4067a53f65de1a8a9273d55bfea5870a75,29000000000000000000,Uniswap,UNI,18,40,214830,43560000000,171879,2817281,deprecated,3189734,29,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
12,12783765,1625707252,0xcf06def8069adae4c5b15550f9ab7c55266ce1df60a60d47771c8bd351d828d6,4,0xe9a7e392d1ede226e4e606370879dac02b76d1d7c7ed75506ff0156c57212abe,0xefb47fcfcad4f96c83d4ca676842fb03ef20a477,0x9813037ee2218799597d83d4a5b6f3b6778218d9,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,53492708982704894522,BONE SHIBASWAP,BONE,18,40,214830,43560000000,171879,2817281,deprecated,3189734,53.492708982704894522,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
13,12783811,1625707878,0xe860edf301ff0ff9ba7ce35c1be95464774c9546fb0c0d6b036901f9576409c2,7,0x7ff33deed77d9c9f4d1e502098956221426ff6c7fe3c00c61b79e12c435a356a,0x0000000000000000000000000000000000000000,0xf7a0383750fef5abace57cc4c9ff98e3790202b3,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,53492708980000003294,tBone Staked Bone ShibaSwap,tBONE,18,175,80514,40700000000,80234,11506595,deprecated,3189688,53.492708980000003294,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
14,12783811,1625707878,0xe860edf301ff0ff9ba7ce35c1be95464774c9546fb0c0d6b036901f9576409c2,7,0x7ff33deed77d9c9f4d1e502098956221426ff6c7fe3c00c61b79e12c435a356a,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0x9813037ee2218799597d83d4a5b6f3b6778218d9,0xf7a0383750fef5abace57cc4c9ff98e3790202b3,53492708980000003294,BONE SHIBASWAP,BONE,18,175,80514,40700000000,80234,11506595,deprecated,3189688,53.492708980000003294,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
15,12783906,1625709056,0xb857b12c44b4202fda89bcb7eb0b78a1124a6025f2a618d77b434c7b9d7575f1,9,0x1c7d62d2dfee9af7535c4e1598f089f65d5b6b60e0f10746a89b2d7598999918,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xcf6daab95c476106eca715d48de4b13287ffdeaa,199920265913398702748183186,SHIBA INU,SHIB,18,279,230489,36300000000,173152,14003085,deprecated,3189593,199920265.913398702748183186,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
16,12783906,1625709056,0xb857b12c44b4202fda89bcb7eb0b78a1124a6025f2a618d77b434c7b9d7575f1,9,0x1c7d62d2dfee9af7535c4e1598f089f65d5b6b60e0f10746a89b2d7598999918,0x0000000000000000000000000000000000000000,0xcf6daab95c476106eca715d48de4b13287ffdeaa,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,12037010513869064710064,ShibaSwap LP Token,SSLP,18,279,230489,36300000000,173152,14003085,deprecated,3189593,12037.010513869064710064,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
17,12784111,1625712057,0x723787c5407040f0d62d145e7c018675b8c5a92954aa8d93d6660dc6fbf244b8,12,0x70070e5b49d89dc24bdb6566cf1b5fa0ee325dbfc528dc8393e61f86b42531b1,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0xcf6daab95c476106eca715d48de4b13287ffdeaa,0xcf6daab95c476106eca715d48de4b13287ffdeaa,3009252628467266177516,ShibaSwap LP Token,SSLP,18,68,256174,38500000000,178675,4355013,deprecated,3189388,3009.252628467266177516,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
18,12784111,1625712057,0x723787c5407040f0d62d145e7c018675b8c5a92954aa8d93d6660dc6fbf244b8,12,0x70070e5b49d89dc24bdb6566cf1b5fa0ee325dbfc528dc8393e61f86b42531b1,0x03f7724180aa6b939894b5ca4314783b0b36b329,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,50002445235361845221886102,SHIBA INU,SHIB,18,68,256174,38500000000,178675,4355013,deprecated,3189388,50002445.235361845221886102,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
19,12784139,1625712375,0x6c0e7d6c1f361c5189302464f674f1b56d0ce4bd82580bbf5da69968b0b95e6c,13,0x7c038b1967df506699571d237c314208e6a3b6bf16fac392c1206c777f8f67f3,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0xcf6daab95c476106eca715d48de4b13287ffdeaa,0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7,9027757885401798532548,ShibaSwap LP Token,SSLP,18,134,208081,36300000000,188093,7338409,deprecated,3189360,9027.757885401798532548,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
20,12784180,1625713047,0x095f34095ce787ebf2dec5645928d12057c3b4c47df7c136062af92a76030416,14,0xc1caad5ed26a4f6c7d02521b4eeda912d63750bd32db79024608aeb1397da1a9,0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7,0x9813037ee2218799597d83d4a5b6f3b6778218d9,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,21481636103401385,BONE SHIBASWAP,BONE,18,138,315343,33000000000,280357,9944433,deprecated,3189319,0.021481636103401385,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
21,12784180,1625713047,0x095f34095ce787ebf2dec5645928d12057c3b4c47df7c136062af92a76030416,14,0xc1caad5ed26a4f6c7d02521b4eeda912d63750bd32db79024608aeb1397da1a9,0x94235659cf8b805b2c658f9ea2d6d6ddbb17c8d7,0xcf6daab95c476106eca715d48de4b13287ffdeaa,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,9027757885401798532548,ShibaSwap LP Token,SSLP,18,138,315343,33000000000,280357,9944433,deprecated,3189319,9027.757885401798532548,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
22,12784213,1625713523,0x52edf5f35f2f2a52180c3d0ed38ab4f6599efe6a657494168ecd3d2014a10e28,15,0x993225dab005075726392080d9c9bc0775a6dd3e8707ce24471c2a0542dbf397,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0xcf6daab95c476106eca715d48de4b13287ffdeaa,0xcf6daab95c476106eca715d48de4b13287ffdeaa,9027757885401798532548,ShibaSwap LP Token,SSLP,18,133,256201,34100000000,163699,8927249,deprecated,3189286,9027.757885401798532548,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
23,12784213,1625713523,0x52edf5f35f2f2a52180c3d0ed38ab4f6599efe6a657494168ecd3d2014a10e28,15,0x993225dab005075726392080d9c9bc0775a6dd3e8707ce24471c2a0542dbf397,0x03f7724180aa6b939894b5ca4314783b0b36b329,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,149857159809294450365444808,SHIBA INU,SHIB,18,133,256201,34100000000,163699,8927249,deprecated,3189286,149857159.809294450365444808,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
24,12784225,1625713744,0x7be32eb2e8d3f8f79d39bec2a681cd9a637160097d7b876fa0d43eef9c427b7f,16,0xa4840fcfffef764188193638c92c0573832d9a7d0bc85d9727837c5a213c40a3,0x0000000000000000000000000000000000000000,0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,251426780638435014553337198,xShib Staked Shiba Inu,xSHIB,18,107,58943,37400000000,43735,12462086,deprecated,3189274,251426780.638435014553337198,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
25,12784225,1625713744,0x7be32eb2e8d3f8f79d39bec2a681cd9a637160097d7b876fa0d43eef9c427b7f,16,0xa4840fcfffef764188193638c92c0573832d9a7d0bc85d9727837c5a213c40a3,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0xb4a81261b16b92af0b9f7c4a83f1e885132d81e4,251427352368632649105932392,SHIBA INU,SHIB,18,107,58943,37400000000,43735,12462086,deprecated,3189274,251427352.368632649105932392,sent,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
26,12784632,1625718921,0x0dc6f8eaed22c1d2bbf8de0cbd461d3d608c777f4b87ceac04b4c2e023d5d5c5,17,0x386396da8b47d6db13d46f2135adb228377f8e51b179c477ccadd309be7a75e5,0x811beed0119b4afce20d2583eb608c6f7af1954f,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d,136091514742289061344216389,SHIBA INU,SHIB,18,60,217084,26400000000,119236,4131363,deprecated,3188867,136091514.742289061344216389,received,0x26a40e8dbdb0dee17d7036fcc0a2ae3fecf4800d
