,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4281934,1505604351,0xdb42ea43f82a4ab2dc11bca84848fc1b0a415a1008f3a00e219d4d804f27feb0,1216,0xf428c89c3177cd3c77e8c8bf7eb0f3f67118231f6070647727245e33d2771f46,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x2ede5264391d156bd20d37187f610b0bd3117da5,769201793027148216,OMG Network,OMG,18,32,3020000,4000000000,2900685,5996766,deprecated,11692241,0.769201793027148216,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
1,4323649,1506743249,0xd35df1ed37e0bf8e2bb66ae175c48e0bce0fcea5c40f12c1cbdc2e5a0df55a25,42268,0x7e924d36e3cc566340cb92f1358ce3f01405c7ace057214d9547eaf360058175,0xd7d0f507e4ecb367f435939fee0605413cacddb6,0x94d6b4fb35fb08cb34aa716ab40049ec88002079,0x2ede5264391d156bd20d37187f610b0bd3117da5,100000000000,Cryptonex,CNX,8,102,90000,10000000000,52687,6003665,deprecated,11650526,1E-7,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
2,4431460,1508998687,0x3dc40cda6f3ad267b9100b3e590bef97e07a3719cd5d6356697b6af0a58e2f56,2050,0xa5be9b3ed71dd0028c6b5d04d439a0f99e2ddeeccaa6be75740747e41ae974a4,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x2ede5264391d156bd20d37187f610b0bd3117da5,530745508612963050880,XENON,XNN,18,52,3200000,500000000,3131179,5096661,deprecated,11542715,530.74550861296305088,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
3,4455206,1509329693,0x1b6c7102d22f20a6d0f3a44890e1751abfaa196a1af46accdb752b37eb752f63,995,0x1613eb73dceeb10f7919edeaeb6cbfb6fd6a2023759e39550b0df7d42844a7b8,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x2ede5264391d156bd20d37187f610b0bd3117da5,551565689598755807,Streamr (old),XDATA,18,27,4000000,2000000000,2888353,4268377,deprecated,11518969,0.551565689598755807,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
4,4573272,1510972410,0x3a726d7c0264530dcab954c058b14bc58f276f405262e033cda7235417be092e,242,0x51d47c215baeb79e807f4f988d4f3a82eb2092c212d0055bfb21f237f70e85ae,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x2ede5264391d156bd20d37187f610b0bd3117da5,104206482468944640000,VIU,VIU,18,31,3300000,200000000,3270908,6417934,deprecated,11400903,104.20648246894464,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
5,4633199,1511807846,0x14ad456bd173669879a824df7c8af58bb00e610a260689695d0fc68a5c946537,1007,0xcf07de09754fa3cc94745bac97fab18761b1905f5af3c36548cf6ed0b3c7dde0,0x0000000000000000000000000000000000000000,0x52903256dd18d85c2dc4a6c999907c9793ea61e3,0x2ede5264391d156bd20d37187f610b0bd3117da5,777,INS Promo,INSP,0,47,2000000,4000000000,1717923,4806529,deprecated,11340976,7.77E-16,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
6,4808202,1514402677,0xa68e625efaec6f2b1873da618f8950df4719fb6b3d842bdf16eacadf3f7348ff,95291,0xa1a9d7c3e512b9faa82d4898ddbe789c7d50e992fc77efee81b1f41423e83d12,0x0000000000000000000000000000000000000000,0x1234567461d3f8db7496581774bd869c83d51c93,0x2ede5264391d156bd20d37187f610b0bd3117da5,1000000000000000000,BitClave,CAT,18,8,6500000,4000000000,6431396,6915919,deprecated,11165973,1,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
7,5148411,1519483929,0xdca44bad1239d07e6845252965d2ee90f1dad3d25369ebe0e899793329f0ce9a,0,0x4ce45d604626661c2c2928e6727f5f19963b227e923b5d31d42b955606ed2dc3,0x54fe1be636764b4405501040f884540ca39ff95d,0xc5d105e63711398af9bbff092d4b6769c82f793d,0x2ede5264391d156bd20d37187f610b0bd3117da5,18000000000000000000,BeautyChain,BEC,18,52,4000000,3000000000,478796,4165873,deprecated,10825764,18,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
8,5177895,1519917850,0x78ad4d88bb831b84b3b61f6a3aa6b60a20a781c892b4d9a5584344d5edfa0887,20,0x93ce19d537e98774dd6464f80018cd45204fe9871905170d8aed8000394d38bd,0xc1c643701803eca8ddfa2017547e8441516be047,0x23352036e911a22cfc692b5e2e196692658aded9,0x2ede5264391d156bd20d37187f610b0bd3117da5,31164000000000000000000,Friendz Coin,FDZ,18,97,216794,21000000000,216794,3915521,deprecated,10796280,31164,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
9,5390312,1523006185,0xeeb9eaa5263cfb95955f49537900d7131781b7d4b6a54b2e5dbe468747ce6ab4,268,0x19612ce13d7bb02cab51a90e777d573dfcbbc08d6c29576402b3e7919df29a9f,0xc84d42f8d3bb906c1eeba4716acad9176da81c8d,0x995a7886c6ea0777e814776f2d5cdfe1f8dcda64,0x2ede5264391d156bd20d37187f610b0bd3117da5,273000000000000000000000,Bit Trust Token,BTRT,18,14,750000,21000000000,52739,518012,deprecated,10583863,273000,received,0x2ede5264391d156bd20d37187f610b0bd3117da5
