,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,2124187,1471945197,0x57fc06c7171eabb2554591b21cb71e5e263a86dbe920d22453e483998f7a4b21,155,0xb6fdd3e219c9099978c33babcc9053062c0a19d4a930815d4046b3d04b8c041f,0x80a1af7628712f20ccc8bd0ed986531efe49d314,0x4df812f6064def1e5e029f1ca858777cc98d2d81,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,19950000000,Xaurum,Xaurum,8,1,164356,22104766392,64356,97006,deprecated,13850124,1.995E-8,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
1,2156277,1472403511,0x0ecd610abe2ae96f87bcff8f7364fc973309cb33a1eada906321d9923590a34f,333,0x08c42c4b8a2a2baa3dcc0ad505cc3181d3048a56d60ffd9a7560a23d644a0349,0x80a1af7628712f20ccc8bd0ed986531efe49d314,0x4df812f6064def1e5e029f1ca858777cc98d2d81,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,7950000000,Xaurum,Xaurum,8,10,149356,20000000000,49356,273852,deprecated,13818034,7.95E-9,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
2,2323547,1474797806,0x0f2d2caf5bea1f3c3e7265c861b22fe104289f161ecca0068ea6c81432efaebb,0,0x90da33ab403936d3ffc883e57f5ae17f36fee0197b0bd389276065ec7cb9ff00,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,0x4df812f6064def1e5e029f1ca858777cc98d2d81,0x3c78e165b66448792da9a8e2076b20f51aee0f7c,27850000000,Xaurum,Xaurum,8,0,49459,42000000000,34356,34356,deprecated,13650764,2.785E-8,sent,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
3,2466396,1476844113,0x383fc3d7b1bccc8790d075afa38a66ff28c6d8b93ed9ee2a9e46ba9d32851e40,553,0x23dea8762d07a4240d6a72cfd57f190a9c3651a3939b497c4a5d37015520e45d,0xf73222fb9ce523633f036f89b10d8feec46dc457,0x384e762dad922b22a0d06f4d1229582473d2dee6,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,1679167523389709174,,,0,14,90000,25813287785,82901,994787,deprecated,13507915,1.679167523389709174,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
4,2499261,1477314714,0x75772678ce94371b4069e5759290b49fbaf6b1a008145a046857b516f35b7bb4,649,0x93e88fbc248ccfade066d335b012fa1fd286b04a65026e7e4e061ce4ab3967e6,0x2e627e83b79d9963ac3f3ee320d769af9301418f,0x888666ca69e0f178ded6d75b5726cee99a87d698,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,1408679167523389709174,ICONOMI,ICN,18,25,100000,59997690067,83085,1247858,deprecated,13475050,1408.679167523389709174,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
5,2730194,1480628701,0xc9bd8e3eac5b33565feefef3f2caac47474b3fbc3dcd16a1b782136ec2ef6a15,1,0x1033cc03124b77da747d27fbf10b026b76cc4fc01b07b277800ed9f4268cded5,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,0x888666ca69e0f178ded6d75b5726cee99a87d698,0x1e2ad02fb9c388168633478873fd84a9b05c9520,1408679167523389709174,ICONOMI,ICN,18,2,52243,21000000000,37243,89224,deprecated,13244117,1408.679167523389709174,sent,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
6,2853399,1482383323,0x10ff1e7029fda0d6d5192f5e6cf55dba1cae76b28247e6a3933953af90e3d724,187,0x1bfe95d0d51516dbdea87aa96941c30d39ecc65268df1edd04afba834d9c2171,0xbd86fc80fdc7cb7e5635fb7fb7129b2f557a38d9,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,822806250000000000000,vSlice,VSL,18,1,53668,41000000000,53668,181551,deprecated,13120912,822.80625,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
7,2860271,1482481995,0xb110de8ef0328220bcde8cb0ef87c0645c1c20d81bdd8ffb36fc23ba25304711,2,0xc9b3a181f1cbd6840242f13cd4687b22c130ce22bfbd2b973841e03467278593,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,0x5c543e7ae0a1104f78406c340e9c64fd9fce5170,0x8bab591bfabb8147b21735fc3e224d5c7237be68,822806250000000000000,vSlice,VSL,18,1,53668,41000000000,38668,77785,deprecated,13114040,822.80625,sent,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
8,3518891,1491948347,0xe5e0a15f7542bacb286d54455763e655a06727b6c96c5284de3765918aa5290b,1828,0x8a585631353ee07f888490bad91b345bd2e5df4cf2d641e1c49f3d3584edf3f4,0x003230bbe64eccd66f62913679c8966cf9f41166,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,191,Edgeless,EDG,0,14,100000,18000000000,59658,886160,deprecated,12455420,1.91E-16,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
9,3519087,1491951173,0xfffde0ed20eb6025f71afc564f1cb5b9aba09ccb47c4c48e0236fbe4307940ac,2104,0x9859a84a209ffaa2218bcb5ccc74a4d88450f7adfc6d0d9f721a2c8939a89b33,0x003230bbe64eccd66f62913679c8966cf9f41166,0x08711d3b02c8758f2fb3ab4e80228418a7f8e39c,0x3efdd8c8e47917a9c8ace90d690ce1034368128a,225,Edgeless,EDG,0,5,100000,18000000000,44658,3579610,deprecated,12455224,2.25E-16,received,0x3efdd8c8e47917a9c8ace90d690ce1034368128a
