,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4098398,1501482208,0x3ec396c07f2c04c4812839148eed57ebb3a4ccc1367967071480504704b8ccb4,14901,0x9fd42931528041c55890250e3e93c4301bf200e8379fd19bd55690eee746bc2a,0x692da4782d996dac7d66b5822f3c504f67da8493,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x400273aee51265fded563e3653aacb3406c470b3,4642968750000000000,EOS,EOS,18,62,300000,20000000000,55843,2533729,deprecated,11875920,4.64296875,received,0x400273aee51265fded563e3653aacb3406c470b3
1,4098467,1501483357,0xcfd6c3fff065eb5179d17fd76c12c5a03a75aa09c2a8c547c567d3f5ee180f54,14917,0x1208179f3bd623e06993717e990b13a59e3dd9403163cfe280e5f90c795fd7e3,0x692da4782d996dac7d66b5822f3c504f67da8493,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x400273aee51265fded563e3653aacb3406c470b3,1347250964480000000000,EOS,EOS,18,28,300000,20000000000,40843,851723,deprecated,11875851,1347.25096448,received,0x400273aee51265fded563e3653aacb3406c470b3
2,4098496,1501483878,0x9519916d43f0e68ba502458919aad9f4b307a2fd4a41aa43a169913d4954ebea,14923,0x6eeb0be4b0fbf093457a6141911957f1479cf919e38d8a6dcda68c7b6ef89817,0x692da4782d996dac7d66b5822f3c504f67da8493,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x400273aee51265fded563e3653aacb3406c470b3,1346586628750000000000,EOS,EOS,18,69,300000,20000000000,40907,2472953,deprecated,11875822,1346.58662875,received,0x400273aee51265fded563e3653aacb3406c470b3
3,4098528,1501484317,0x245cef20e661114cc5e3bb405c66aad2ab374b9467b44bfc04e5d518e611558c,14930,0x65b2f83f58fa3509cfd8f8f66faabf4c476abaf8169540dcb84e7fa5f6540c69,0x692da4782d996dac7d66b5822f3c504f67da8493,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x400273aee51265fded563e3653aacb3406c470b3,1350237342550000000000,EOS,EOS,18,61,300000,20000000000,40907,1780930,deprecated,11875790,1350.23734255,received,0x400273aee51265fded563e3653aacb3406c470b3
4,4270954,1505341432,0x4a8dcacae3fb2862023d96cb2c71eb0582f9f6c9186ae1e367e6241e065c6b2a,164,0x427224fae5db22fef41b8c2467585a322dd60bfd30a146fcc377753acdabd36e,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x400273aee51265fded563e3653aacb3406c470b3,24731554764697335422,OMG Network,OMG,18,34,3020000,4000000000,2891253,6361779,deprecated,11703364,24.731554764697335422,received,0x400273aee51265fded563e3653aacb3406c470b3
5,4412452,1508734604,0xd00051ae8e80993261c16096e4ee561e21c11ec7fc685bb4d4ec4808ab1e35fc,169,0xf032f5b7a69f6eaff3cd81070d82ad8d67b3e7f8924b0f5b40d387713e51ab41,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x400273aee51265fded563e3653aacb3406c470b3,1644079670989926911300,XENON,XNN,18,14,4712388,500000000,3131435,4174556,deprecated,11561866,1644.0796709899269113,received,0x400273aee51265fded563e3653aacb3406c470b3
6,4434466,1509041284,0x4493c96f485e692d354f9f542509e5beda12b78e865d75e446169fa0daa7cc0a,282,0xaf932333492295c42f08014b424ab81c4f8d6b6ecb8a65011602da9f80a034f3,0x160e529055d084add9634fe1c2059109c8ce044e,0xdb455c71c1bc2de4e80ca451184041ef32054001,0x400273aee51265fded563e3653aacb3406c470b3,500000000000000000,Jury.Online,JOT,18,8,6500000,4000000000,5885732,6085553,deprecated,11539852,0.5,received,0x400273aee51265fded563e3653aacb3406c470b3
7,4458112,1509370383,0x2c01c82e97ef8cf5aa1d9102f89969e2cc85a54e1f6bb48c19360770ce87d0bb,1333,0x622247808b6cd968a6f1bad6a4fea9200674b7d98543891f913ec676300b9d1a,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x400273aee51265fded563e3653aacb3406c470b3,30201394021122721968,Streamr (old),XDATA,18,21,4000000,2000000000,2888161,3760417,deprecated,11516206,30.201394021122721968,received,0x400273aee51265fded563e3653aacb3406c470b3
8,4467853,1509506308,0x753c3ea66839f90ad1721931ad0b14f7da0707ec84d21a376546f27bdcc12fe5,48683,0x522d195b42a4740483c2cca4053ff76aa7ab2f0e6ef8f468d271a00e5f8e1100,0x692da4782d996dac7d66b5822f3c504f67da8493,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x400273aee51265fded563e3653aacb3406c470b3,1426708558760000000000,EOS,EOS,18,117,300000,30000000000,40907,6057234,deprecated,11506465,1426.70855876,received,0x400273aee51265fded563e3653aacb3406c470b3
9,4472092,1509566001,0xc60863155761f6e925ad8cea953109830c1180869055fbe7b29785104bbaa489,49391,0x73230f572b7759261f0b83dbde4a353cfc555f89b5f19bf969b1f0bfd42511ef,0x692da4782d996dac7d66b5822f3c504f67da8493,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x400273aee51265fded563e3653aacb3406c470b3,638383898480000000000,EOS,EOS,18,113,300000,30000000000,40907,4826602,deprecated,11502226,638.38389848,received,0x400273aee51265fded563e3653aacb3406c470b3
