,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4270968,1505341783,0x2b32614fdfc68719593b72cd520638e1ef29193d92fab49424e76206ed192c93,169,0xa0411be8d806d3273246de99c01d700ae0105cf47e362861e24e5a9710086519,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,23329812324483900563,OMG Network,OMG,18,57,3020000,4000000000,2906509,6025553,deprecated,11703566,23.329812324483900563,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
1,4414233,1508759487,0x9c1e69c923f976fa2f038ac3a78e16d9c2926826ae39a5e39070aaed84451f90,384,0x56d8b52bf51a79e96323e13474b5e27dfa3fc46381bddd75e48ca6593b355d43,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,1305958690779598175200,XENON,XNN,18,10,4712388,500000000,3131307,3452557,deprecated,11560301,1305.9586907795981752,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
2,4462939,1509438448,0x2e01ce0700267f1e10b22d22f086b7908d394a941096e8f88b8fd3a516355334,8997,0xc66409168193a5a15a663ade2ea5b4989ba39f821c868b9de031889fff097dfb,0xbe595d1a91bc39c13f084f2e410692c0e1f972d2,0x95408930d6323ac7aa69e6c2cbfe58774d565fa8,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,100000000,DEBIT Coin,DBC,8,54,80000,500000000,52187,5091567,deprecated,11511595,1E-10,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
3,4463104,1509440721,0xb963e1a5514ef85f1bf3d511bf2d36c4670c0607717de3439961cdf88036f6fc,1916,0xa797a950bcab21bd7c265de581f2d90dfde0ec008208b2dc29bd75fbd27304fb,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,1822938315342875558,Streamr (old),XDATA,18,60,4000000,2000000000,2888673,5645127,deprecated,11511430,1.822938315342875558,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
4,4572823,1510965835,0x92529f21e9982dc2c9b23dfe0894750fda1cdeedd64369bb2a9750e50de30743,199,0x26ea78604cc8e89dded972d7e7225e89565493883251e78dcd1c91447ee3f1a8,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,347571060000000000000,VIU,VIU,18,55,3300000,200000000,3270908,6476411,deprecated,11401711,347.57106,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
5,4633608,1511813773,0xa4c9a6d400b25ac6c31b29640158f64850e31ec440dd1dbb5967efacf9496f29,1281,0x326944a0c1e88fa408dbd7c8cb03a4fc9bd686f3082169cf3093e8e9ba2d9fe3,0x0000000000000000000000000000000000000000,0x52903256dd18d85c2dc4a6c999907c9793ea61e3,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,777,INS Promo,INSP,0,21,2000000,4000000000,1717283,6128678,deprecated,11340926,7.77E-16,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
6,4766941,1513795373,0xd07e579605405b83ad331055097919fe09a7221bb84e80dcd7c75351b0637387,272,0x0c7838a002c7bb7abe4132ba9acd37074883e56c32b8c379005490c2e0002bbb,0x1c19839c88c0cdb4d0b10208833101d75454d7c1,0xd037a81b22e7f814bc6f87d50e5bd67d8c329fa2,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,424378553000000000000,EMO tokens,EMO,18,9,3173886,30000000000,3073886,5037255,deprecated,11207593,424.378553,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
7,4804352,1514347321,0xaa2306e5e9a13b50962d933fdf4f90bed5e0a355b32022d8b6e853f957490094,94967,0x05a086e125f9196d0a32eb6cce0b1f95615dbeeaccf41ee18818de3ccbaf1411,0x0000000000000000000000000000000000000000,0x1234567461d3f8db7496581774bd869c83d51c93,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,1000000000000000000,BitClave,CAT,18,29,6500000,4000000000,6431204,7796869,deprecated,11170182,1,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
8,5566119,1525608412,0x9a4e280640aded3917c532b4348109f21f273282c6d82c4aba81cf26c068c5bc,98,0xcf320e8afcd6f63712b55302700704e708f757c65808a3da559af77bf15370f1,0x1f8a1b72a0408cafc89f7b7ad620bc63f47994dd,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,56000000,Tronix,TRX,6,45,1670542,2000000000,1660257,6572524,deprecated,10408415,5.6E-11,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
9,5797608,1529131887,0xd96e6f7ad669b440bc90ff0743470d7baa5900c469e9e04046d810ca46ad2d4a,75,0xdc3065ed197724d0e6b0a5a62f37accf1d5b3b78a60c0e9d55e2c7b232a6d1ba,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a,911,An Etheal Promo,HEALP,0,164,1800000,3000000000,1707717,6698693,deprecated,10176926,9.11E-16,received,0x5daf10f443933643a8dc59cc14dab3708e4a4e3a
