,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3801671,1496289508,0x3f2e88fb62a27644c95379b2b0dab1ff187b04a07e40e42646dacc9a573e7489,29264,0x3c1aa56b9f5356284c39afa3ff0b1335849d5fa00c9428d4a66df49d7fedca16,0x7fe2b88f2e4858de375832fbf54ac7cf1a78ca51,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,5027585290000000000,Golem,GNT,18,45,360000,20000000000,51784,2460023,deprecated,12172910,5.02758529,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
1,4271972,1505365809,0xf4870d1954ee45fbfae0c7db4991f0c2de04d0cd7970cf69016bf1ec318825e2,366,0x32c4a5f2124ef841a0a1b5317c8d16147c5bb0a5a878565b9882a331f3b5af80,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,7376454721434445468,OMG Network,OMG,18,15,3020000,4000000000,2900685,3323463,deprecated,11702609,7.376454721434445468,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
2,4287910,1505748233,0xc5211a7993dabf64b9c75f621bd85bbae66537c8b416f219e0404c0b0dced15a,22195,0x21cea4b2e236b882637361f679b60dc667a53b120cd251f92da8d9e3b3ee8ee9,0xd7d0f507e4ecb367f435939fee0605413cacddb6,0x94d6b4fb35fb08cb34aa716ab40049ec88002079,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,100000000000,Cryptonex,CNX,8,43,90000,5000000000,52687,6617394,deprecated,11686671,1E-7,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
3,4424742,1508904997,0x18e8d0d9f3272e8f1585b155fd1ac68a765fe6517ca7959f9a68897ca9c57473,1367,0xc7f9a15dcd479ab7c43e3c174990199ca8f144774a7974e35b5a596a2718812d,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,711520946798027765370,XENON,XNN,18,12,3200000,500000000,3131371,3471023,deprecated,11549839,711.52094679802776537,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
4,4438847,1509101485,0x88fb66ece32a6528318860e3324a3ba74bcb85055dc42ce1a0d1ac063b34b7ef,342,0xfdc6f316c49d1988287699d6fe8af6883c41c1b13382299d8e8ef40ae0785f69,0x160e529055d084add9634fe1c2059109c8ce044e,0xdb455c71c1bc2de4e80ca451184041ef32054001,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,500000000000000000,Jury.Online,JOT,18,4,6500000,4000000000,5796052,5918534,deprecated,11535734,0.5,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
5,4464225,1509456231,0x53c878869c9cdc8ec05a5d8a8ff0a0b993c9c51e01223d8bb9d43a978d2fdae8,2044,0x1099f356813a7c80424cb40d59f34f8843223e247364f5a0723c47ec74c18302,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,110777330401797055,Streamr (old),XDATA,18,33,4000000,2000000000,2888417,5606344,deprecated,11510356,0.110777330401797055,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
6,4580192,1511068560,0x2e76575c38b255e36108c1a9b2f1e8c54fed87415361e20281992459e10ffab3,683,0xa64c0313c5e5d011252894849ad12de7668378c480d60114b5460fc988e5eb55,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,448300679756722321280,VIU,VIU,18,28,3300000,200000000,3271228,4526244,deprecated,11394389,448.30067975672232128,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
7,4634353,1511824471,0x4253d6b5186f07488d774a83f5a80b6e071ed24075724890208fe4d0fd3c15ed,1745,0x2cf5845fef1544694b3001cd17bcdda5a3c838759c2065e2c755709474e3ffd1,0x0000000000000000000000000000000000000000,0x52903256dd18d85c2dc4a6c999907c9793ea61e3,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,777,INS Promo,INSP,0,91,2000000,4000000000,1717155,6025520,deprecated,11340228,7.77E-16,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
8,4773185,1513891640,0x7577328ad61d941c813e8e64ab26bac1754e9df7742b9e7f76385a27ffeedb25,761,0x4670a31f2f9faac4eecf219408dbf83bb72b1dd5d15ff5ad5a0e3d19335c9658,0x1c19839c88c0cdb4d0b10208833101d75454d7c1,0xd037a81b22e7f814bc6f87d50e5bd67d8c329fa2,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,43041449316202689088,EMO tokens,EMO,18,112,3173182,26000000000,3073182,6721442,deprecated,11201396,43.041449316202689088,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
9,4957086,1516695721,0xf375008bffb7053edcc13aecbaaa4b240f22f419c2beabbba3394df71a77f059,1265,0xdde611c764697433cf5508ffaa1d1186327eb5b5219b3363930429509acd5bc5,0x21d80914081aedb32a0e9a369b4385a400ef4e42,0xf2eab3a2034d3f6b63734d2e08262040e3ff7b48,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685,597502000000000000000000,CANDY,CANDY,18,28,3000000,10000000000,832503,1797859,deprecated,11017495,597502,received,0x6435a83c1c2c5a0876c4b6fa7a3d3d4eee0c1685
