,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3887734,1497707315,0xdb606d51635741c4cb7b7f77355070aa272a732371ec5a6265e5d0fdc6784234,2344,0xc35ecbc5321a5fef0c0822d614490c1a8d5ec4545dea15fbecc333c114a1491d,0x0000000000000000000000000000000000000000,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,306698705991762986580,SONM,SNM,18,39,100000,10000000000,65574,2799825,deprecated,12086873,306.69870599176298658,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
1,3916508,1498196111,0x9ee665ecfb383d5f17e9a872c91f93c14d02b7c19de553a648377bdc63be4d8f,366376,0xcac2fff9fb24316931252fb687a13680f72be950aa3ceadf7e4e178831fa41d6,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,490000000000000000,Bancor,BNT,18,8,202345,61000000000,52344,278628,deprecated,12058099,0.49,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
2,3926534,1498370846,0x644c6fa145b4a49aa36ce154855337b7e26012e1e43c6bd3a4b6b2780c07b946,2,0xcab58c472c1661201a5fa7298f9911345a5fd8b4b47cdf98b2d7e8674586391b,0xd42433a8a0a1ceb73c8ff4e432463e2ee109039d,0x621d78f2ef2fd937bfca696cabaf9a779f59b3ed,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,8000,DCORP,DRP,2,38,100000,21000000000,83583,2351512,deprecated,12048073,8E-15,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
3,3930465,1498440698,0x718659f951dfd7c99bd31556f5f027c4590f3f96c480e0ca50271ee1421c2ec5,387491,0xc54eb85b4fe7510e3e18e735c75fedb96ce45eebc27dda6cfb28ffc261c66042,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,20000000000000000000,Bancor,BNT,18,9,187409,51000000000,37408,235003,deprecated,12044142,20,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
4,3962746,1498998235,0xef1011a0abac13db7202e64cc73e7449d18c5d9d6f5599f414e302bcd95e0edb,6,0x489b9318df5b8ffa27976780b6110b4b4be0e2524860721c13f024372cfaf48a,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,230095872809438274131,EOS,EOS,18,64,90000,21000000000,81179,1803765,deprecated,12011861,230.095872809438274131,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
5,4072205,1500996879,0xe938b054f0234af0a206509599dcf7d2e65f87a4c762817dc2da6c72422da123,1165,0x03e8d89b067689a262c1d241ae696a5364d7a615f342906adbdb2434034189a4,0xa869b2674914ec42b66dafe65acac797cd241cba,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,6093000000000000000000,CoinDash Token,CDT,18,97,940000,22000000000,52907,5161330,deprecated,11902402,6093,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
6,4072483,1501002043,0x190b64213f1cf66e90e0ab6351deffb87e2befafa2cfcaf9d7a53f4a63440074,29,0xad44f289cd952102f4583aeaab1497aece431055a3e3620f6add1c8b02bd293d,0x024ec4ecb38ecdb759422d8b5690b6442c5ee872,0xc3601fc340daf71ee98fa047aeec86f9f50e1e3a,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,5,BETOP,BETOP,0,14,51623,21000000000,51622,1094470,deprecated,11902124,5E-18,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
7,4093267,1501387387,0xbfc5c82628858227205e053eec98d0f94a3443237692892fe8868ccf242c6a94,454,0xc77a87a7cef09404cbca77e4b3b0f456f44d0b04a2734279f653829ee47071ce,0xac3174f9c0da6cef793a86f09034fc6ba8eaa8b4,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,60500000000000000000,EOS,EOS,18,72,40843,22824235918,40843,3473269,deprecated,11881340,60.5,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
8,4093442,1501390901,0x9b96bc8d298204916a25706ba54eb3d147e98a6f5fbbdcd50441d94c34ebba96,222,0x2841952a16592e3d0286f76f53a53c237dbce24a985aa3405f6253d5a081a69a,0x96a4460ff09571cfa3877920f661f8bdc7f1ee94,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,27950000000000000000,Bancor,BNT,18,10,37408,22824235918,37408,449595,deprecated,11881165,27.95,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
9,4252448,1504892892,0xe5bf743a042dcdfbc2117f48f38c517dbf362420616ccde341fe11174a043a38,472,0x0e83ec534d8efe22911190c47e2d12266e692323d38a3f935581d1a9f28d87a1,0xcf925cd78162ea8de028f25a65d857ac4e1969f8,0xc0eb85285d83217cd7c891702bcbc0fc401e2d9d,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122,1502605873658,Hiveterminal Token,HVN,8,87,51833,30000000000,51833,2951282,deprecated,11722159,0.000001502605873658,received,0x6753eecb92f97eb4c0fd0d5bd44ee4d061530122
