,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3946226,1498714021,0xc2f73195abd4cd654428762eee1792de74123ffc44a721a38ca46e9973a01ca1,3,0xdee59e426d87df1f425f113b8b5c93a70e2cd99accadef504ba1bd7b9f487df1,0xc9b6418b8087a35c5ab4ae57637500487d308767,0x43ee79e379e7b78d871100ed696e803e7893b644,0x679564969d5bdfd315fe623ff9b9355c61bd518d,986000000000000000000,UG Token,UGT,18,36,120000,51311252711,37235,1342936,deprecated,12028383,986,received,0x679564969d5bdfd315fe623ff9b9355c61bd518d
1,3946471,1498718074,0x655c8783e1efa9bc7f547d778840e5ccbcc8a4c2eb415098c4c1744fc41431bc,50,0xe7581ce7a07d92311c5c724a7e3b34a54ffd40c1acd152aa4abaf59f9f6b0ac2,0x8b35acda84ff338233b66997f059164447e71aa4,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x679564969d5bdfd315fe623ff9b9355c61bd518d,10000000000000000000000,StatusNetwork,SNT,18,86,180000,4429850624,103563,3408388,deprecated,12028138,10000,received,0x679564969d5bdfd315fe623ff9b9355c61bd518d
2,3950142,1498781220,0xdd46fc2dbb5674ba457e819ff03a6773b905b5efc20f87e85770948a7100e4ad,1069,0x10acfefcb6cbbc74dc2d1f37910914653453c518d7faa26395fe3911fadfc3a9,0x2946c05cf464ebd0cca96ece1926cc570d02459e,0x43ee79e379e7b78d871100ed696e803e7893b644,0x679564969d5bdfd315fe623ff9b9355c61bd518d,1,UG Token,UGT,18,22,57043,10000000000,36851,919658,deprecated,12024467,1E-18,received,0x679564969d5bdfd315fe623ff9b9355c61bd518d
3,3995908,1499564885,0x63d1a016c88dac2a4b8e5e7006121c6e95342797828bbe1f91e17bb49d3150a2,4,0x96d7a24faaecce9838a271c086eff8c969616815cf3c3d627c5fc9fb0e0e51c1,0x679564969d5bdfd315fe623ff9b9355c61bd518d,0x43ee79e379e7b78d871100ed696e803e7893b644,0x2a55b58aacf868bb68df34a11c2f137e68d73004,800000000000000000000,UG Token,UGT,18,22,60000,4000000000,52235,901855,deprecated,11978701,800,sent,0x679564969d5bdfd315fe623ff9b9355c61bd518d
4,4051901,1500618131,0x9363a8a5231e4e7debd1840b11c1b79f9b3257b31045ed4d2bb46351b88dfc12,5,0xa228ec06c1ca47c83b6940a0959c35e98880b5ae1101aecd6d3f472188c058ab,0x679564969d5bdfd315fe623ff9b9355c61bd518d,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x4db5c22254e87fe5eeef2f03358f4900270364ee,5000000000000000000000,StatusNetwork,SNT,18,4,180000,57250000000,103499,288574,deprecated,11922708,5000,sent,0x679564969d5bdfd315fe623ff9b9355c61bd518d
5,4058688,1500745396,0x5a9a99bd2b2338e8df6126f666c40676729a0b118e11e70164d1acdeb52f767d,6,0x07dcd81ccc8ce216acf4052fa7ba8f0150371856b78bea134f1cc34ae087ce44,0x679564969d5bdfd315fe623ff9b9355c61bd518d,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x4b2347c2687dbdba0466360bdcff67977f975554,5000000000000000000000,StatusNetwork,SNT,18,10,180000,1000000000,103563,775831,deprecated,11915921,5000,sent,0x679564969d5bdfd315fe623ff9b9355c61bd518d
6,4066182,1500885134,0x123a6e438c8ca5f65958a8d476f9893cb12c231eb630892e4487f9ffb4569447,3606,0x77b5d1bb5addeea295f2b4e53fa1ab0881262a5dc101f891be6dfe006b0b9cbc,0x90c0b17d84a9d99e4144889c5a594434400695fd,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x679564969d5bdfd315fe623ff9b9355c61bd518d,3976036000000000000000,StatusNetwork,SNT,18,52,150000,20000000000,91194,1706091,deprecated,11908427,3976.036,received,0x679564969d5bdfd315fe623ff9b9355c61bd518d
7,4085991,1501252887,0xb52d9f42b6800d0cf95affce146061281ddd227769fdaca309067e9fe0affdc0,7,0xfafaa4511ee7f34d2e3cc56babce7259e929447dc14ffab52fe0e173be77eef8,0x679564969d5bdfd315fe623ff9b9355c61bd518d,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xe75c4afa8309fd0a9a903b6d563f856a79e57030,3976036000000000000000,StatusNetwork,SNT,18,57,180000,21000000000,103499,2186066,deprecated,11888618,3976.036,sent,0x679564969d5bdfd315fe623ff9b9355c61bd518d
8,4106998,1501658618,0xcfd64626da37a091939199ac226cfee67a6060b0e1089f6bf12b867f56285f4d,8,0x273894982739f454f3aa51a65c2a65d5d5c9a4f5c1814fdb29bf2292a2f0e48b,0x679564969d5bdfd315fe623ff9b9355c61bd518d,0x43ee79e379e7b78d871100ed696e803e7893b644,0x2a55b58aacf868bb68df34a11c2f137e68d73004,284684200000000000000,UG Token,UGT,18,26,60000,10000000000,37299,3974116,deprecated,11867611,284.6842,sent,0x679564969d5bdfd315fe623ff9b9355c61bd518d
9,4112462,1501776112,0x80aa53be1ddd9c04a6b62c82b48964418833d7edecc4b330e2f490b705bf25cf,106004,0x77177162782fdbabfbe28f777f149666724308618986571b5e231f79e2200935,0x69ea6b31ef305d6b99bb2d4c9d99456fa108b02a,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,0x679564969d5bdfd315fe623ff9b9355c61bd518d,396421300000,Bytom,BTM,8,50,150000,21000000000,51411,1473995,deprecated,11862147,3.964213E-7,received,0x679564969d5bdfd315fe623ff9b9355c61bd518d
