,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3856977,1497205412,0xad10b2f312bcd6796264716f1ec1b58d02c4a53741c8a9a4ac245911f22f4bcf,271333,0x57261f91e73987ffa572615ce25a54fed74109df04ad3cbcacf4d1284bfaad6d,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x960b236a07cf122663c4303350609a66a7b288c0,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,990000000000000000,Aragon,ANT,18,71,256322,22061831512,106321,4047944,deprecated,12117730,0.99,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
1,3857877,1497219834,0xe334fb296d3c1b25910e228454d843b886a71a2238460eba453219a2bb768d73,272388,0x100cd0b2604355f0fea17c3987d8562cb7f6bfb3056f0c0c414b02cadfbe22c2,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x960b236a07cf122663c4303350609a66a7b288c0,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,79090000000000000000,Aragon,ANT,18,31,244127,22061831512,94126,1165405,deprecated,12116830,79.09,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
2,3861725,1497284041,0xb91a82fa5735bb979af43e282b6789701661314a9f5b4852ec8b634983c011e8,12207,0x04d65629ce14112a9e74018c8ed2033d990c96e4e5d9a835d17d2aa8ca16e4b5,0x48d466b7c0d32b61e8a82cd2bcf060f7c3f966df,0x6810e776880c02933d47db1b9fc05908e5386b96,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,95000000000000000,Gnosis,GNO,18,2,90000,65917114531,51473,93473,deprecated,12112982,0.095,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
3,3862836,1497302198,0xd8f2f389e4602a864d7edda0b95081f30f588eca49365fa8e9da34c5c59a7f6b,0,0x95e9c3f637beabca7967492b3ab8c2bfc7258a2ce76156aee7cc128eb0986435,0x0000000000000000000000000000000000000000,0xb04cfa8a26d602fb50232cee0daf29060264e04b,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,6000002400,Monaco,MCO,8,13,250000,21000000000,170077,1928914,deprecated,12111871,6.0000024E-9,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
4,3863335,1497310516,0xc310c8edd226465d9a5dab5d51b413a0f089e71f46802e8c714846f8058c4bfd,277619,0x0425946c2587ff63af0ad0507707ded27fa0951b665e8f6e4956fab6656e5173,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x6810e776880c02933d47db1b9fc05908e5386b96,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,245000000000000000,Gnosis,GNO,18,12,201474,48862661348,36473,301044,deprecated,12111372,0.245,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
5,3938668,1498582647,0x8a00a38cb0e1cc1843e3fc382505d05cf81266e88f7f3ef9b9c9912102a8a8d6,7351,0xba3c1a816c8b6e303980c35b642ab67f16fcc3335f1447ef37ada6655fbf1edd,0x0000000000000000000000000000000000000000,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,6000002400,MCO,MCO,8,25,243987,27784192107,143515,2030833,deprecated,12036039,6.0000024E-9,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
6,4042861,1500448868,0x9fcc942c3d42c745bc7363598452b794c7b97a4f08803db47ca880c83c12c190,185,0x40eafedf904c816225131f8b53489848ef9d254b45651377d127fa2e04cbebe5,0x96a4460ff09571cfa3877920f661f8bdc7f1ee94,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,4950000000000000000,Bancor,BNT,18,57,52344,20000000000,52344,2086703,deprecated,11931846,4.95,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
7,4043431,1500460002,0x1d1b9a5caf6a499234127c07bd7caf81e2e07e31ab28f9d4ef1dcc70fbf94fba,181,0x84cadbe2b833c8f591588bf17cd702218498bbd25fe24f3d2f90220d4c13cc99,0xf9e42ad2e8a5a1ed07f5c3d7dfc2ca415db0fde6,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,44000000000005,DENT,DENT,8,72,250000,12000000000,169581,2579157,deprecated,11931276,0.000044000000000005,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
8,4070911,1500973319,0x716daf1f463aa9f3d52115825b46f70d4ca3693d1a71b31f5d0487e7a4bb5440,18778,0x7f9edf778e09b535b1b8fdc203d9f062f4d9647122fc9249175424ecfc500b4a,0x174443351e21d47ed9ab51517a301107d92ede64,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,59500000000000000000,EOS,EOS,18,27,70000,25300000000,55843,1242231,deprecated,11903796,59.5,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
9,4108164,1501683523,0x41e49a2ac0dd557eb7c19f0628d59bf0048312bff1553004b60a72fba5dd7660,183,0xb31fb9e7fd3dde0d1ad68406a46e8dd2309c51748bd7037515f7c2c8dd5efe00,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,0x006bea43baa3f7a6f765f14f10a1a1b08334ef45,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,106400000000000000000,Stox,STX,18,44,200000,21000000000,71748,1842492,deprecated,11866543,106.4,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
10,4115330,1501837662,0xd3ca6dc94e5b67299ea2030c5dc361a0204eb2d57012ca9cd86268d49262328b,185,0x5490578d27b6e89fbe015f57af4c0b5943b2f7f93dbfb14977063cd6c4af971f,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,0x6810e776880c02933d47db1b9fc05908e5386b96,0xded31568cf799979f87b0d91fb96725e42f97367,340000000000000000,Gnosis,GNO,18,39,51409,20000000000,36409,891442,deprecated,11859377,0.34,sent,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
11,4115655,1501844642,0xcf3c9b109a9103f2b520e410357aebcf84da9b95ff766ae08e194589e0529633,98556,0x440adca9955b17732cd05123261d34bb9dd85aaae56146a01128101ca6849382,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0x7c5a0ce9267ed19b22f8cae653f198e3e8daf098,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,277982191780000000000,SAN,SAN,18,12,120000,30500000000,52571,390050,deprecated,11859052,277.98219178,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
12,4154642,1502669923,0xc03c9dd0ccba85090a2bebe19ee74863d2cf51e2f1567d4defa9ba01283daef4,195,0x77ca720035a138f5d83148a839f76462368c9f505a73f54d4c6cbdcf49c3c8ad,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,0x5a84969bb663fb64f6d015dcf9f622aedc796750,0xec50986665d1acda16b7ee4a2421ecfb446951a0,70000000000000000000,IDICE,ICE,18,11,51768,21000000000,51767,373220,deprecated,11820065,70,sent,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
13,4156020,1502698661,0xfa5b8590dfd9f61fb2a8bb78564810ca6582649a02ab2082ad19c3fa372cb425,102384,0x3a031b5f8e151b25c932bff6d4570c233c2b5d9b762b8d338eb38ce19f985151,0x0536806df512d6cdde913cf95c9886f65b1d3462,0xa74476443119a942de498590fe1f2454d7d4ac0d,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,228386890130000000000,Golem,GNT,18,98,90000,30000000000,51848,3987924,deprecated,11818687,228.38689013,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
14,4156217,1502703001,0x2f17142ffd1d56fd686f89ea7d848f057c7667d7ba036456fa39513b4edff17a,6587,0xcac58742bbfcfebaa409a4252b94cf1d3eab8e79bec453136b596b21b3959e94,0x1554aa0026292d03cfc8a2769df8dd4d169d590a,0xbeb9ef514a379b997e0798fdcc901ee474b6d9a1,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,427000000000000000,Melon,MLN,18,14,70000,24150000000,52514,502955,deprecated,11818490,0.427,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
15,4156593,1502710964,0x801248b685bb83128083abe33ced3c4c6415f5335a5536d9164516458782f8ce,3757,0x1fde827a3dfa2d31e71f74f0a3423197ce1754c44e89bdb151574405238c652d,0x00dc4d71d3be813d8de3e226d2e74714fb1b0dad,0xd4fa1460f537bb9085d22c7bccb5dd450ef28e3a,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,898000000,Populous,PPT,8,45,90000,21000000000,52321,1803417,deprecated,11818114,8.98E-10,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
16,4197556,1503559276,0xd9b35adafdf28a898ef74e4e39642bd077d2021606db0fad7153acc602f22686,196,0xb7b00568aa7fb964fc37998365d087c0a0f0106d822e4a2b487a31361f0b0441,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,0x3597bfd533a99c9aa083587b074434e61eb0a258,0x8de895c373b784aed93ca8e50328f4af84bd0b66,22000000000000,DENT,DENT,8,79,52386,21000000000,52385,2811607,deprecated,11777151,0.000022,sent,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
17,4197562,1503559474,0x7dff03b66e408e035f6773f68dad20e0214bb47e749fbdbe1e234ac0fc47df8e,197,0x5e492d81c2dff165f4a815271a7ab1941504ef05b2fca24b469df23205b9900d,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0xcc665bee561874d93e799187c4e64757627b1d46,1500000000,MCO,MCO,8,52,52273,21000000000,52272,2113691,deprecated,11777145,1.5E-9,sent,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
18,4197712,1503562454,0x7d0f8ae63b77138384ed16b0e5d5b1f8e6bb2019366d93809c71a01982eb9595,199,0xf57de1f576af6d5471abf7c92d55db9ff59bc3736f93f53aa483e74cb409f270,0xb910df6da0d82366b9c453780e2f954528120c44,0xd4b21f852974e7b0760a3de085da711664cf07e8,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,437500000,DetectorToken,DTCT,6,45,108272,21000000000,108271,1927609,deprecated,11776995,4.375E-10,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
19,4205791,1503748017,0x797ded58895e2c78da65d3f69ddef258421a3eb7d568f12a8b01d05b374950e5,145361,0xe873e084801d2e785d2dfdbe4c0a273d2d2cb359f2d35b7bad4d542a15670f91,0x1151314c646ce4e0efd76d1af4760ae66a9fe30f,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,13761281450000000000,OMG Network,OMG,18,172,120000,35500000000,52158,6079432,deprecated,11768916,13.76128145,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
20,4212076,1503904549,0x9b86853f2065705be67aeca7f3d4d1091367c115c1f3dcc17c7ccd91656b9d4c,200,0xfca67cb1d3f0d39bd3ff67aaba6d3c0fb6cae2718739c403a3f5cf4f43a092f2,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,0xb63b606ac810a52cca15e44bb630fd42d8d1d83d,0xcc665bee561874d93e799187c4e64757627b1d46,2000000000,MCO,MCO,8,111,52273,20000000000,52272,5349357,deprecated,11762631,2E-9,sent,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
21,4212186,1503907533,0xc41276dd5203c6cc7524aff9f8f16ba6f09d3dddaf5cdda300457cd36f944c2c,1177733,0x75d93bf9fd8b2ac05446a795142a5df9435e5e9ddac1be29c04a7c65318703a5,0xfbb1b73c4f0bda4f67dca266ce6ef42f520fbb98,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,30040000000000000000,Bancor,BNT,18,89,187409,31500000000,37408,3711639,deprecated,11762521,30.04,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
22,4218685,1504067199,0xe93de491ca412b17b31db7aae017c5875de068aa468c50ac11f5be06568c65db,206,0x49834eb81377636fe146538f1c0582d42004ed4e606d76bdc597491fd523a4f8,0xc0e4f45b828aa4aa628e897e5da38d9dc72c2257,0xc0e4f45b828aa4aa628e897e5da38d9dc72c2257,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,181011063401,KickCoin,KC,8,167,213713,21000000000,213188,5682599,deprecated,11756022,1.81011063401E-7,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
23,4256329,1504987452,0xaa72be7851608a404f42f6117411c9d6bab87e4549b5c41805a4e42ab1383958,360,0x6c545d4cd8953b475e4db4442c3b356b31bdad73e4b0fd5be451b5082557cb84,0xe10ce89f260de9781cf944ce11662d51660769ad,0x48f775efbe4f5ece6e0df2f7b5932df56823b990,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,3682,Revain,R,0,17,151189,5000000000,51188,1023668,deprecated,11718378,3.682E-15,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
24,4285807,1505696367,0x109e4005a3098aef4db91734f2fde7f4fe220710d5a6f8fcfde9dee9b6feacd8,2230,0x206d785b45126dcc8360c415a9b0d3ee2154a1772e26d24ca6abc1f9baca61d8,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,225786248061523293,OMG Network,OMG,18,62,3020000,4000000000,2885749,5144961,deprecated,11688900,0.225786248061523293,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
25,4314083,1506453619,0x265c23bc3d15761c902f0d38ed28cb2468203bb11832a94f84c8dc79a5af42e8,1319,0x1ab9b0fdae1d9feebcb89d929cf73f0c06e041054ee337f39887662f09a251d4,0x27695e09149adc738a978e9a678f99e4c39e9eb9,0x27695e09149adc738a978e9a678f99e4c39e9eb9,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,181011063401,KickCoin,KICK,8,5,2048000,22000000000,1546186,2020650,deprecated,11660624,1.81011063401E-7,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
26,4333360,1507037633,0x19a1309a1fe5eea1d29555bd8f13c1fb2e58a06f566592e68bb8dafbc8f9561a,5159,0xdd749900bd9d9cb69e40c05c79dce2dce7a6026fcdd6acf2a6c02a1978faeb33,0xa6c1f8fdba848a17437d46595ae21c74bb30b9d8,0xf3db5fa2c66b7af3eb0c0b782510816cbe4813b8,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,360000,Everex,EVX,4,34,200000,22000000000,52987,4458350,deprecated,11641347,3.6E-13,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
27,4370997,1508153960,0xdb323455834b22cdcdf979de135865c4f6550a71f610dc429f50396263a993bb,18640,0x369c7d2eccabb1a33aea467a814ada4dd597be0c60863352339492f5a489df41,0x683797ec3e59923f879d6ffa62cdc887394ab4cb,0x72adadb447784dd7ab1f472467750fc485e4cb2d,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,1000000,Worldcore,WRC,6,20,200000,20000000000,124557,1375893,deprecated,11603710,1E-12,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
28,4439206,1509106630,0xec23bb1f9991ffeef0b6db6aad05c237647a4bb0068256890527ad7339db0241,351,0xbd2fc4b734f6f6de96eb827a21becb87e0dd2ea2244de3923e4500873a0216e4,0x160e529055d084add9634fe1c2059109c8ce044e,0xdb455c71c1bc2de4e80ca451184041ef32054001,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,500000000000000000,Jury.Online,JOT,18,2,6500000,4000000000,5795924,5837924,deprecated,11535501,0.5,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
29,4445387,1509192913,0x19d8aaead0e703666ed28b0475038ca9bd1ee7f4a39439d62a73144c0aec1702,186,0x6997c8ca7c3169191825a752fc6315744c4686aba972aac8ae075a93a38e614c,0x6863b16d476d1975e3f9c1aa494148678a1e13c1,0x4d829f8c92a6691c56300d020c9e0db984cfe2ba,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba,1000000000000000000,CoinCrowd,XCC,18,30,3313562,1000000000,3313245,4556032,deprecated,11529320,1,received,0x7355591e772f56f84a8b1f0ae3e3f31ebf5c72ba
