,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,10007989,1588705634,0x7154341d4d223554462a9be239aa3e75545c2448bb327e474b65780c8b16dbb8,407,0x77e2a703f7647e583ddab977d5127bec1fc358830121720b33681c83761fc6ec,0x43abd6611c1733f4556cc2455cd61ad3f7560ecc,0xf2effc1cd320ff062bae8649d150dbea3cb6b189,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,500000264881214960000000,Ethereum,ETH,18,27,66567,6000000000,51206,4433721,deprecated,5965703,500000.26488121496,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
1,10031268,1589016788,0x6e39b11abe3531de0a9fabb9f5ca9182bffaa9e796c25259d13dc3833ad15580,4,0x99818b8fb828474c6d355f21187858c9a3dedc375e1b887c91f4713f79519926,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,0xf2effc1cd320ff062bae8649d150dbea3cb6b189,0x8ac7c89c43395d7ae912195c5db7054ab5601f29,105000000000000000,Ethereum,ETH,18,54,66536,9000000000,51182,4638080,deprecated,5942424,0.105,sent,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
2,10033733,1589050279,0xf26aa6a82fcbb22fd8f8aab9c085c1314bc00b8a12f441c3955193f933c95a48,5,0x2e364b1f16c34f2f9f81fdfb3158d4beb89203d9991d5df1754c4973509af729,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,0xf2effc1cd320ff062bae8649d150dbea3cb6b189,0xee976fa9fab24a461a019beaaccd46b2aadf42b0,110000000000000000,Ethereum,ETH,18,60,66521,6000000000,51170,7553024,deprecated,5939959,0.11,sent,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
3,10033733,1589050279,0x2282c78c7c3f06bdc9f9bf2e7e3d9c561d02bab3d957ce49b7613746a5387ba4,6,0x2e364b1f16c34f2f9f81fdfb3158d4beb89203d9991d5df1754c4973509af729,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,0xf2effc1cd320ff062bae8649d150dbea3cb6b189,0xc5ccc88110546404ed6f2366e534966c8a5fdf91,155000000000000000,Ethereum,ETH,18,61,66536,6000000000,51182,7604206,deprecated,5939959,0.155,sent,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
4,10067065,1589497081,0xecda09be1a20fe805c9d17adb4cdb2c26945b6253af7aa4ee2d0b6c7effda86c,196,0x284eeb5ad6e731b63004ceaf96f1bb67386323fc98b78a9fe103779d70af4f76,0xe33369971d47065343b38e940bb1e4fbdbbcf014,0xee059f0ca1507e4e20c689b20cff71b5e924f7bd,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,4000000000000000000,Litecoin SV,LSV,18,104,71668,23000000000,36192,8394385,deprecated,5906627,4,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
5,10069676,1589531129,0x627546c74e074c180cc009346910bb2f8a64ffdb0fb9facbe3298f49ce0829bc,136,0xc1b2cee754dd79b81b54ce4808343fafd550f836e9c9ea2c6dba962b4ae8c240,0x967733bcc6a86e0a44d0d2ab882dc5f4c59d0dd7,0xee059f0ca1507e4e20c689b20cff71b5e924f7bd,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,5000000000000000000,Litecoin SV,LSV,18,150,47049,23000000000,21192,7876940,deprecated,5904016,5,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
6,10073803,1589587395,0x7646e01322fde1e90164cc67d0c2341c5a47e6076624a004b7665777404a9372,72,0x2671ceb8fb3978a77c8b15cb353ec24ab50b99f149c16afa2f9cfbeea42eafea,0x61ced49fb1fe8bbaf547d7d3c5f24df9adae9335,0xee059f0ca1507e4e20c689b20cff71b5e924f7bd,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,2500000000000000000,Litecoin SV,LSV,18,85,54288,12000000000,36192,7784424,deprecated,5899889,2.5,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
7,10081588,1589692489,0x52a4f9e1be6172801fc3780adda12b868aa866a55fc1598c85902a753dc6d223,5,0x0d0bed97ee49252a1d7de6a469507aadba198628e478f73b4167256525d22cb5,0xdeb887acc777c805f50f0eb815df2e645facc470,0xee059f0ca1507e4e20c689b20cff71b5e924f7bd,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,3000000000000000000,Litecoin SV,LSV,18,152,47049,12000000000,36192,8260471,deprecated,5892104,3,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
8,10082200,1589700937,0x8f813b88b85f3efce60f4c5587c1205d2a2d5a664c0a85904a9d7febefc890d4,55,0x5d4c9ee019bf33611d4c9e71ed61098ea84a0057a140578c6b3da71fc1930f47,0xbade13c6d2f5ffbe4a13c961361f2f6f6ed755a9,0xee059f0ca1507e4e20c689b20cff71b5e924f7bd,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,5000000000000000000,Litecoin SV,LSV,18,94,36192,12200000000,21192,8416932,deprecated,5891492,5,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
9,10322764,1592924755,0xc6984fab59f29c388354b15de68cf73b4cba9f2c6cc02de78ff4ae4d416e4c77,48,0x2acbff341e19503f200f93b62233539ee274bf9062a8c6a2d382fbfee618f42b,0xc2b25d3fd72293c3d5572c749cb8d3213ad9c6ba,0xdf2a2441b45eee5c68dcd6648b64f362c84955ad,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2,1500000000000000000000,Enjin Coin,ENJ,18,194,67895,4000000000,52227,11773720,deprecated,5650928,1500,received,0x7a376c1bc2f1a041d676b6a0307044d8ed8314d2
