,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3915428,1498176250,0x5bb40636a2ef095537e03b0d9a9f5cd7f1b44284c171a1351551178adb75f183,719,0x4bb620ca9f6aed6454abffd299b83d1fbeeb4f0532f16db58bdcc70fadfb902f,0x77a77eca75445841875ebb67a33d0a97dc34d924,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x819d64ac448dfed4615079c8110dc65a7571db8f,15481403448115327620566,Bancor,BNT,18,112,300000,21000000000,168989,3478655,deprecated,12059396,15481.403448115327620566,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
1,3937067,1498555030,0x4e92f8536c4787fa405f8446b866d1747a8a83c3ae8c151035311d2d15f8aa9d,726,0x2c6222511dfa6756b6df4a0dab41226df7f5a612f80fbb3ac2d0be155f757184,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,1000000000000000000,Bancor,BNT,18,1,108504,23000000000,108503,130987,deprecated,12037757,1,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
2,3937067,1498555030,0x4e92f8536c4787fa405f8446b866d1747a8a83c3ae8c151035311d2d15f8aa9d,726,0x2c6222511dfa6756b6df4a0dab41226df7f5a612f80fbb3ac2d0be155f757184,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,10102788636584983,Ether Token,ETH,18,1,108504,23000000000,108503,130987,deprecated,12037757,0.010102788636584983,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
3,3937086,1498555266,0x191c5c6109a09cfec7e6bce376840a2b68e67727c907f8f14614e59f278d8892,727,0x1b58a2f5ec33f795a9b0118959fd1a3a98004c99b29edb45ac882cc144ad4187,0x819d64ac448dfed4615079c8110dc65a7571db8f,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,10102788636584983,Ether Token,ETH,18,2,43543,23000000000,28543,70543,deprecated,12037738,0.010102788636584983,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
4,3937175,1498556786,0x4e944938bdc8d9f279129bc34f7e333cc2dbaa3772826d0d727e8ae8c1ad2216,6,0xaafa2637062f290d9f3ae2b28e3df0ea7238ef9a365d9aa9762d65c1bf31ba58,0x43b3ed0bf4b877e18218df3febc6cabef44c9013,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x819d64ac448dfed4615079c8110dc65a7571db8f,100000000000000000000000,Bancor,BNT,18,39,37473,23000000000,37472,2038906,deprecated,12037649,100000,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
5,3951439,1498804219,0x3c4885f6f795446a37f7f1c6c93d6cb26842104dd6148c388aa5d4bd5cd95cad,730,0x9f9c80e471ebe0f35b029b79bedbbf39a02e02e889e864cef17c1ff33a56b348,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,10000000000000000000000,Bancor,BNT,18,18,109742,23000000000,109741,1083668,deprecated,12023385,10000,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
6,3951439,1498804219,0x3c4885f6f795446a37f7f1c6c93d6cb26842104dd6148c388aa5d4bd5cd95cad,730,0x9f9c80e471ebe0f35b029b79bedbbf39a02e02e889e864cef17c1ff33a56b348,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,108935587803553720236,Ether Token,ETH,18,18,109742,23000000000,109741,1083668,deprecated,12023385,108.935587803553720236,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
7,3951448,1498804433,0xac9407b891ad0fe734d58d9628ee8fd6856c0fe2cb977fcf7268c5efb84e6cf9,731,0x8de5b89bcab8c168d0480e545c7d707e77e657b15f948211300decb0c0cd30bf,0x819d64ac448dfed4615079c8110dc65a7571db8f,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,108935587803553720236,Ether Token,ETH,18,7,43671,23000000000,28671,194316,deprecated,12023376,108.935587803553720236,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
8,3951710,1498808864,0x1442e60b2a136e41dc0bc184e337510c374f9fe17cd8a477ee066a2522921915,735,0x11cb13354158f3219bd0c26dfff9e2806193033e0549b28ba2a8f1aad8df4bb3,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,10000000000000000000000,Bancor,BNT,18,7,109792,23000000000,109791,655380,deprecated,12023114,10000,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
9,3951710,1498808864,0x1442e60b2a136e41dc0bc184e337510c374f9fe17cd8a477ee066a2522921915,735,0x11cb13354158f3219bd0c26dfff9e2806193033e0549b28ba2a8f1aad8df4bb3,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,108733628225375409496,Ether Token,ETH,18,7,109792,23000000000,109791,655380,deprecated,12023114,108.733628225375409496,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
10,3951724,1498809083,0xbd380b415f6c0111143dc8e9f61420cba2c2bcd2492f15a8341ce531c9eccd75,736,0x3b5deee5f546b29dfee629aaaf0ded2f802757796bf0bac5bd4ea17d0068a96d,0x819d64ac448dfed4615079c8110dc65a7571db8f,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,108733628225375409496,Ether Token,ETH,18,7,43671,23000000000,28671,270329,deprecated,12023100,108.733628225375409496,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
11,3954349,1498853693,0x440e19ac1019d47991b2dba8a68a21df790f0fca99ddcdebe3071add09d18cba,738,0x4bc8b1ba2b669912a63acadc79a94ef9bc1feebae211f51600605941e4f1997e,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,20000000000000000000000,Bancor,BNT,18,75,109974,23000000000,109973,1933240,deprecated,12020475,20000,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
12,3954349,1498853693,0x440e19ac1019d47991b2dba8a68a21df790f0fca99ddcdebe3071add09d18cba,738,0x4bc8b1ba2b669912a63acadc79a94ef9bc1feebae211f51600605941e4f1997e,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,209911487473031337002,Ether Token,ETH,18,75,109974,23000000000,109973,1933240,deprecated,12020475,209.911487473031337002,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
13,3954352,1498853749,0x5ee82a61e818ca81522540e9f29906a1fb8a900ba26d50547247cef8cd8afa34,739,0xfaaed6d180a35bf4eb2d3dd783c86a2abb9dd72a2f4a252b23d6a23f4085665b,0x819d64ac448dfed4615079c8110dc65a7571db8f,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,209911487473031337002,Ether Token,ETH,18,14,43671,23000000000,28671,728793,deprecated,12020472,209.911487473031337002,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
14,3956066,1498883125,0x7f7ed36eb1a2539788bdeee9f9843b17b010385534d67bddd154a232c310fcb4,742,0x337965c5ebd5d3e963de1b96a19053ebec52c7cbabecb69ba047d618d574770a,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,10000000000000000000000,Bancor,BNT,18,10,110176,23000000000,110175,405122,deprecated,12018758,10000,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
15,3956066,1498883125,0x7f7ed36eb1a2539788bdeee9f9843b17b010385534d67bddd154a232c310fcb4,742,0x337965c5ebd5d3e963de1b96a19053ebec52c7cbabecb69ba047d618d574770a,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,101391316140271828645,Ether Token,ETH,18,10,110176,23000000000,110175,405122,deprecated,12018758,101.391316140271828645,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
16,3956074,1498883238,0x54ceb8526a8f58e32598a6ff2d43dab18e73e046cda55379a051010796166bb8,743,0xb3bfa9edfe55d7b019932c2b50e3582989520abe811fa54447d616cf56aeccf5,0x819d64ac448dfed4615079c8110dc65a7571db8f,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,101391316140271828645,Ether Token,ETH,18,9,43671,23000000000,28671,313956,deprecated,12018750,101.391316140271828645,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
17,3956545,1498891443,0x1a5cd61e45d9b46ee7227f299321a6027d8c8c60f49d1fbf179921b588801460,745,0x29ffec5e148565bf57c3c08f6bb1ef049786979daf41e91a3fe017e9d2a192b4,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x52daf4175ce49d29647e55c7fb3080f6c8d2f873,400000000000000000000,Bancor,BNT,18,17,37409,23000000000,37408,674986,deprecated,12018279,400,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
18,3956625,1498892776,0x41744404bc0595cb733a2c61bd77e4ed9247245e394e2268d6058b41a5022b85,746,0xa04a232fad4e32521f4115dc7625f8349f6220f579600671eea2fca58c59cbfd,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,10000000000000000000000,Bancor,BNT,18,4,110292,23000000000,110291,231874,deprecated,12018199,10000,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
19,3956625,1498892776,0x41744404bc0595cb733a2c61bd77e4ed9247245e394e2268d6058b41a5022b85,746,0xa04a232fad4e32521f4115dc7625f8349f6220f579600671eea2fca58c59cbfd,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,101145376252210670744,Ether Token,ETH,18,4,110292,23000000000,110291,231874,deprecated,12018199,101.145376252210670744,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
20,3956630,1498892896,0x2ab1d1161331addd4abce00ef3c4a313eec58ceabae618402e97f4c27052d03b,747,0xe1c8086c3d4f863eb562b7e42d49208b533d8a57d9b8dd1a16a09b94e61c85c3,0x819d64ac448dfed4615079c8110dc65a7571db8f,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,101145376252210670744,Ether Token,ETH,18,14,43671,23000000000,28671,2620847,deprecated,12018194,101.145376252210670744,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
21,3984873,1499376975,0x24f46e33951491f1b3d0deb790208a67c10235501d15fd1b777f532b138416e3,752,0xd647556938488e261b97f6c9e30e00b0c9887e7b7fea13e40c00d158e3c16188,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xbd399ebab5336214d0cd0f2d193983a692b6e120,500000000000000000000,Bancor,BNT,18,2,52408,21000000000,52408,114408,deprecated,11989951,500,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
22,3990901,1499480287,0x91eca8b32805f42ddf9553ac2c61a4a4f0534c5e0e82b1f4746b666ccefc71d5,753,0xf179cdb13b29f55767a110eda61e8cc24b400c42dfc72bcec53eba34b7029647,0x819d64ac448dfed4615079c8110dc65a7571db8f,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,10000000000000000000000,Bancor,BNT,18,17,109944,23000000000,109943,983415,deprecated,11983923,10000,sent,0x819d64ac448dfed4615079c8110dc65a7571db8f
23,3990901,1499480287,0x91eca8b32805f42ddf9553ac2c61a4a4f0534c5e0e82b1f4746b666ccefc71d5,753,0xf179cdb13b29f55767a110eda61e8cc24b400c42dfc72bcec53eba34b7029647,0xca83bd8c4c7b1c0409b25fbd7e70b1ef57629ff4,0xd76b5c2a23ef78368d8e34288b5b65d616b746ae,0x819d64ac448dfed4615079c8110dc65a7571db8f,102737780015842014744,Ether Token,ETH,18,17,109944,23000000000,109943,983415,deprecated,11983923,102.737780015842014744,received,0x819d64ac448dfed4615079c8110dc65a7571db8f
