,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4271194,1505347166,0x95eb6983d9c03b7910557dcda7c4dee6012ae8cb282d38284b052a1248093b62,215,0x43762941192538aa1de6455daed41eb1f88767ff832354a2c340428c1f3bfede,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,15652213438086989405,OMG Network,OMG,18,51,3020000,4000000000,2855685,6469467,deprecated,11703676,15.652213438086989405,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
1,4412797,1508739667,0x88aa39f0e1a23bda80e84f251697312182877b920a1527373bdd3932599f4229,229,0x4b99c2974e1293ffc996335991b81199ec09c66c735c2a133f2c5ed5fe51a5f9,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,1510485532294540020000,XENON,XNN,18,40,4712388,500000000,3131627,4686107,deprecated,11562073,1510.48553229454002,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
2,4470304,1509540465,0x81eeac33c04c973ab494caecbcebfe004f8b57796bd4dbf36d4f769dd431cc13,2732,0x2ba836f15bf7536a0b23dd4379bc108babd92d1c4af1dfb2d2cf67466565c9ff,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,19032799531919233982,Streamr (old),XDATA,18,30,4000000,2000000000,2888545,5035378,deprecated,11504566,19.032799531919233982,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
3,4573948,1510981724,0x313983a49a727976305113edbfb054e417d5f157e2be45e25666ec2bbedb76fd,297,0xa756be54e3bcfd44b975409c3017c5d131617257f4bcda92815eb9fa687d9edc,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,3595838407208919550240,VIU,VIU,18,76,3300000,200000000,3271548,5667315,deprecated,11400922,3595.83840720891955024,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
4,4628889,1511746618,0xfe0c31a244fb49edc06e38db7f82c6e380db0aef5b29776e2117ef52c0d52609,87048,0x219ec982f4638a99bb4ef58318ebbd33d40f5f6cf1ea8169fc858f987bb05238,0x9f89388141c632c4c6f36d1060d5f50604ee3abc,0x68e14bb5a45b9681327e16e528084b9d962c1a39,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,5000000000000000000,BitClave-ConsumerActivityToken,CAT,18,83,85000,5000000000,73822,4548504,deprecated,11345981,5,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
5,4632999,1511804973,0x684789c18e678053228d7f2109b66cd1f524ba863abdf802ca8d463b11b9d8a5,855,0xa13e5a3f1496d52efc97835e5ebefb8c1a2080a7b2c4bd9f135b5cfad0ee15a9,0x0000000000000000000000000000000000000000,0x52903256dd18d85c2dc4a6c999907c9793ea61e3,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,777,INS Promo,INSP,0,64,2000000,4000000000,1717091,5408709,deprecated,11341871,7.77E-16,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
6,4768347,1513817043,0x065a15e757d4ed6da74019f1a9a1c0245243fcb5d9d6896cd4d06d63f6939238,381,0x0b71a1eabcb5e45f62dde4af0fd325a3193ef844e6e745bf5d598320fa832d6e,0x1c19839c88c0cdb4d0b10208833101d75454d7c1,0xd037a81b22e7f814bc6f87d50e5bd67d8c329fa2,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,179791920360445977512,EMO tokens,EMO,18,34,3173950,30000000000,3073950,4448425,deprecated,11206523,179.791920360445977512,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
7,4800839,1514295639,0x962bbe7826b623c4a056f1b6675ec581644085c6a2ab73a01c79bdf2eff53862,94645,0x93648a3fde2bcbdf8689c8c93bff0a8935498169a31796177130bab8e9bea418,0x0000000000000000000000000000000000000000,0x1234567461d3f8db7496581774bd869c83d51c93,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,1000000000000000000,BitClave,CAT,18,35,6500000,4000000000,6431780,7569887,deprecated,11174031,1,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
8,5538058,1525182335,0x0375379a76a014b93be695dec13bac1a530ab6316447fe64b1733de0f1f93091,84,0x1cc56357ede19dea128db91bf28f354577d80de8b27c3f81d7cd18f5544f224f,0xc93412aaed21dc53f65eb9a8c5d8e36e2cb0726e,0xf230b790e05390fc8295f4d3f60332c93bed42e2,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,59000000,Tronix,TRX,6,74,1601008,2000000000,1600961,3760543,deprecated,10436812,5.9E-11,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
9,5782776,1528910559,0x1fe0ef7fced74e1a419584f68631ad01ad67855fa7bc7fbffe4d14c4ce0c4913,6,0x8020bf66c37f5e1916a3ae425fdb0881f8e134a115c55c64576aa17752bbac59,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,911,An Etheal Promo,HEALP,0,54,1800000,5000000000,1708293,4204603,deprecated,10192094,9.11E-16,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
10,6082254,1533321408,0x34e63cee72f7d7d94d3628c8e571c01d5ad0740b5b900ac7f57819656e1ebe96,5034,0xb467a28cff6dfecc7958a18a1c3b041415ec9c61b19883f293e3cf95486bbeb6,0xc7304352548c192f6ba59ee15e3e1ae9a5605608,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,1790000,GSENetwork,GSE,4,30,2500000,2100000000,1984152,6369357,deprecated,9892616,1.79E-12,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
11,6220070,1535332003,0x6855e95ac5645743a8763244566c31ea61b01573a560b2d1506d471ed3052fcd,1581,0x468e55b2029753b8ef8f3fd7dfeef483b6f3d456fd2f8c8afec1ba3cfc6da63f,0x0000000000000000000000000000000000000000,0xd4de05944572d142fbf70f3f010891a35ac15188,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,365000000000000000000,Bulleon Promo Token,BULLEON PROMO,18,31,5000000,2000000000,3707337,5693548,deprecated,9754800,365,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
12,6275978,1536146615,0xa9e7b437d13e7b31fa6adf6949d9a75f4081a023080d47e54adfc6013de8ab08,3227,0x5b4e2f07a5a5533f9c63f323024b23012d416335f9b8a544cfa42c4d1551a1ac,0x8e306b005773bee6ba6a6e8972bc79d766cc15c8,0x58b6a8a3302369daec383334672404ee733ab239,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,2205458155331397795,Livepeer Token,LPT,18,28,1700000,3090000000,1463800,5602548,deprecated,9698892,2.205458155331397795,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
13,6501830,1539356530,0x29806abd815ee290eedeaa4433e8eba7ee75b1472fa90451da57bd04c0fb8660,465,0x368ad6d8abc4e2d4a8533f393b9702ee9e1652a2c4743c018cf91f593378774d,0x0000000000000000000000000000000000000000,0xaf47ebbd460f21c2b3262726572ca8812d7143b0,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,5,Promodl,PMOD,0,37,2000000,8000000000,1699898,3725368,deprecated,9473040,5E-18,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
14,6556585,1540128477,0xe0130ee9a610417cb34ea9bf2e517e843444957fd38b117c6b1ef1a4163d6684,392,0x967988a1148598dbdbc248ac3aeee846366683f1fd782d68d0366ec7a5cfd4ef,0xabe32e544b16b7b2428dbfb85e1affbe3bd67c98,0xd49ff13661451313ca1553fd6954bd1d9b6e02b9,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,2122274886375190000,ElectrifyAsia,ELEC,18,40,5000000,8000000000,3300365,5001858,deprecated,9418285,2.12227488637519,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
15,7016289,1546719504,0xfd8c2d59d651b43f273b82b5c837b9c73d4d8f6dcfc1a03d7059578dbced2f10,142219,0xb49a4d3a3201fe066f3d95e75e3a1fd08d085141d03156f3141b1197b50207dc,0x00cfbbaf7ddb3a1476767101c12a0162e241fbad,0x4dc3643dbc642b72c158e7f3d2ff232df61cb6ce,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,1000000000000000000,Amber,AMB,18,77,60000,3500000000,52108,3747492,deprecated,8958581,1,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
16,8311253,1565284308,0x717388797dfd1713f031007380d12221085da27a46986a02210b616e8a30a4b0,1049,0x5d10dbbd2cf28354239e1e0c71305c0bd0cae4a4030baa1943706ca7674339a7,0xa4eff1f24a45ae0980364557c21f1c448de1aae9,0x4c1c4957d22d8f373aed54d0853b090666f6f9de,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed,1000000000000000000,Silverway,SLV,18,12,1500000,1500000000,1176663,6218538,deprecated,7663617,1,received,0x8734e060ae3b24b12ab29fa977f6aba1296f65ed
