,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3951602,1498807085,0x437573b74ca41b644e5945b3b4eb662fa43118139f1ba498e50cb04a21106e3e,1504,0xace25d8de2a282ca26cc535a5083736ca53eb239629a7500276cf969c175300c,0x2946c05cf464ebd0cca96ece1926cc570d02459e,0x43ee79e379e7b78d871100ed696e803e7893b644,0x95a308cf75f7da57c083eae54739126b951a8b7e,1,UG Token,UGT,18,78,57043,10000000000,36851,2590829,deprecated,12023373,1E-18,received,0x95a308cf75f7da57c083eae54739126b951a8b7e
1,3957871,1498914235,0x0f67905ace61edd0f841b8e56404032188750aa48186e35120a595cdfe00fd0f,12,0xc263fe2c8b07bca5cf315b27bfcd98c72a35233038089c2c9efa638b838886f3,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x95a308cf75f7da57c083eae54739126b951a8b7e,7363067929902024772200,EOS,EOS,18,40,200000,21000000000,82862,3827959,deprecated,12017104,7363.0679299020247722,received,0x95a308cf75f7da57c083eae54739126b951a8b7e
2,3958655,1498928311,0x1485a903e83fb82dd25d052a2f5e8c30182980ff16c5d60f35a331985b526539,13,0x162377e085ba5e1d6220a041ec04878799825643db47554c5a60cf10a740b888,0x95a308cf75f7da57c083eae54739126b951a8b7e,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x6d4c2c8d37db4e2e36c37516a3e8f3f580db3e17,7363067900000000000000,EOS,EOS,18,25,60000,21000000000,55971,1751731,deprecated,12016320,7363.0679,sent,0x95a308cf75f7da57c083eae54739126b951a8b7e
3,3992796,1499511867,0xcff9ecfd2278904f28638d3e6d7ac0e0d92b7e1aeb532c5e2f0f1122db7e230e,599,0x1817efda4d7c79b0ecdd0c52ef83a4c4259e4ea69224934ec050826136becc21,0xa09ecfc812b8cecd94e8cf49f86df86ce36d8d0c,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x95a308cf75f7da57c083eae54739126b951a8b7e,2433000000000000000000,TenXPay,PAY,18,38,152066,8000000000,52065,1438746,deprecated,11982179,2433,received,0x95a308cf75f7da57c083eae54739126b951a8b7e
4,3998107,1499602453,0xb46c16b5317e1ee55bc511119f9c914ee7e957e7d30a9234d689689817c9360c,18,0xe14dd522aab0e683bfc232b1f4b587f50b7af1b12e0938495a404e784ad249db,0x95a308cf75f7da57c083eae54739126b951a8b7e,0x43ee79e379e7b78d871100ed696e803e7893b644,0x4d54100a2ad1139b04ac54f26a0cebd20abd50f9,9868421000000000000000,UG Token,UGT,18,21,60000,20000000000,52363,1887891,deprecated,11976868,9868.421,sent,0x95a308cf75f7da57c083eae54739126b951a8b7e
5,4010960,1499842027,0xac6d54a06bc5352a8a47efa8cdd67ef6671483015fe3de8a8b342ad5fab2148d,20,0x0570f2c457888cb21d102bb221a230ae0afab348cd6de0d6dd55e79a5d8aa64b,0x95a308cf75f7da57c083eae54739126b951a8b7e,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x7d2060b00b4f19f732bbf429607140cec7f10356,2432999900000000000000,TenXPay,PAY,18,59,60000,21270383140,52129,4122511,deprecated,11964015,2432.9999,sent,0x95a308cf75f7da57c083eae54739126b951a8b7e
6,4014467,1499907983,0xa97c82b4ad8d2747c3eaf7ef71c4660f937b0c53163a24f7e569896bd5fdb96f,22,0x61e30fda5cea9fe66cca71cfce4d5cb817d3ba10ae7962034f7017da0574f65b,0xd0a6e6c54dbc68db5db3a091b171a77407ff7ccf,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x95a308cf75f7da57c083eae54739126b951a8b7e,1046298628194770103471,EOS,EOS,18,19,200000,21000000000,66253,1052058,deprecated,11960508,1046.298628194770103471,received,0x95a308cf75f7da57c083eae54739126b951a8b7e
7,4014483,1499908425,0xf9a6d92be828a149414cbe762b3d2c923252fc82748b2c859576cad1a2fff3f7,23,0x66275f7107d6715855d432d3ab0bbda26b1148f2959d14339e05351dd625fe61,0x95a308cf75f7da57c083eae54739126b951a8b7e,0x86fa049857e0209aa7d9e616f7eb3b3b78ecfdb0,0x6d4c2c8d37db4e2e36c37516a3e8f3f580db3e17,1046298600000000000000,EOS,EOS,18,39,60000,21000000000,55907,1777197,deprecated,11960492,1046.2986,sent,0x95a308cf75f7da57c083eae54739126b951a8b7e
8,4070494,1500965248,0x8aa179801e1df8bb3d0654cf3393fe1ee0ed127a606d237684f1844bc4f9260d,163,0x67371b537c6289a5e120676620afeac1c2c9f61d5210fb0a072908f3157f76ac,0x147b7f7cc82c2401f68f14c7f915138c9b8bfaaa,0xcb97e65f07da24d46bcdd078ebebd7c6e6e3d750,0x95a308cf75f7da57c083eae54739126b951a8b7e,10899900000000,Bytom,BTM,8,27,66536,16000000000,51411,1201134,deprecated,11904481,0.0000108999,received,0x95a308cf75f7da57c083eae54739126b951a8b7e
9,4072185,1500996654,0xa3da85ff7ffe272f1643465f5d2b475fec3998ec7c984be8560b7ea1bd04dcd2,427,0x854d5f06124fdbdd2b70f6038411ef0a557926851fe5b6a4c8e317f25d3613f1,0xa869b2674914ec42b66dafe65acac797cd241cba,0x177d39ac676ed1c67a2b268ad7f1e58826e5b0af,0x95a308cf75f7da57c083eae54739126b951a8b7e,61539300000000000000000,CoinDash Token,CDT,18,34,940000,22000000000,52907,3253557,deprecated,11902790,61539.3,received,0x95a308cf75f7da57c083eae54739126b951a8b7e
