,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4274236,1505419941,0xf06810e959fb0e592ca02037617df4cb49c723015d01850b5edf25c0da03edce,585,0x55dd7abb2a40022859779f2d404985db1bb0f815c8ee6704e5684be2e6625a02,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0x9a968bc4aef199a4f62be5503261c0b18eac5417,3046285167204579988,OMG Network,OMG,18,48,3020000,4000000000,2870685,6188444,deprecated,11700777,3.046285167204579988,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
1,4413502,1508748766,0xcd0288c5a44a031abd6a7f8320a3968687b2d9f8dcc040a5cc50f08660f05036,319,0xa6b845faea29bb23c42a53d4948cbf64e86b54d7f4fffad34766767cfe20031f,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0x9a968bc4aef199a4f62be5503261c0b18eac5417,1364729262342374071700,XENON,XNN,18,22,4712388,500000000,3131947,4250049,deprecated,11561511,1364.7292623423740717,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
2,4473479,1509585363,0x45350501531e0d793ea29c7598ab1abb2e3d80c500b93ae41474089007636cec,3113,0xf2647c47cee80976680e01aa6922306dbdbd0d19df47282f3be9d9400dbba22b,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0x9a968bc4aef199a4f62be5503261c0b18eac5417,9256403561841535788,Streamr (old),XDATA,18,65,4000000,2000000000,2888609,5460560,deprecated,11501534,9.256403561841535788,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
3,4533249,1510415642,0x04ab3b7f2ed4dc363a5f586bd84ae77adf0392ae6f94411793d3826d62052c49,215,0xab9d4971bbe6f315389a35d64bbb08dc4508954e19ff57e57e594a98b021b299,0xae2b80f7f4d285caa658a285233550d19c8e7847,0x519475b31653e46d20cd09f9fdcf3b12bdacb4f5,0x9a968bc4aef199a4f62be5503261c0b18eac5417,2169775450230764960000,VIU,VIU,18,21,3300000,200000000,3269820,4076096,deprecated,11441764,2169.77545023076496,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
4,4633381,1511810359,0xf179d28fd2b95ae25c6d7eccfa13074b9d23a055252b3d333db789407d3edb4c,1123,0x6f56dc375a4ae8d2394d9756a6fa5885d33819b52a2c75cbd675fe20a30c6f8c,0x0000000000000000000000000000000000000000,0x52903256dd18d85c2dc4a6c999907c9793ea61e3,0x9a968bc4aef199a4f62be5503261c0b18eac5417,777,INS Promo,INSP,0,52,2000000,4000000000,1717603,4105550,deprecated,11341632,7.77E-16,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
5,4768875,1513824904,0x3a21333845f902340d5e802324b018ea15fbfb941fb19086d254334d8f612fe9,466,0x11f0f65f7e5ae0b6ffaa67dafa7ecd917ed1fd420dee918ab419805aca8f6a1c,0x1c19839c88c0cdb4d0b10208833101d75454d7c1,0xd037a81b22e7f814bc6f87d50e5bd67d8c329fa2,0x9a968bc4aef199a4f62be5503261c0b18eac5417,108488772511538248000,EMO tokens,EMO,18,59,3173822,30000000000,3073822,4776760,deprecated,11206138,108.488772511538248,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
6,4801692,1514308471,0x854844b564899e0d5e656f3d5326e429a07188ba65ac2ce7660999f8a1e04bc8,94717,0x6852d941764edc7ab66f63997f2c892ad51bc0a5d76153da7cddfd37f65c060e,0x0000000000000000000000000000000000000000,0x1234567461d3f8db7496581774bd869c83d51c93,0x9a968bc4aef199a4f62be5503261c0b18eac5417,1000000000000000000,BitClave,CAT,18,9,6500000,4000000000,6431332,7224922,deprecated,11173321,1,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
7,4810600,1514437231,0xc71d36fd49cba31d111850d1eb7756d752110711be95aa7c916a90d8b9b35186,939888,0x15f319cebad34e69b643b565808742d1ca65d018aa4d1cb603e4a8b0029118c3,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x9a968bc4aef199a4f62be5503261c0b18eac5417,2599000,Substratum,SUB,2,12,104284,55000000000,52142,546175,deprecated,11164413,2.599E-12,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
8,4821218,1514595533,0x4f1bbfc05c11fde46640309e6c7571f2cce3622bd08bece715ca6378653c37e9,1003766,0x0a134f8ac4db0672549794375c8a4e204be96e515c306db9e8fafa777d44b307,0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,0x12480e24eb5bec1a9d4369cab6a80cad3c0a377a,0x9a968bc4aef199a4f62be5503261c0b18eac5417,2432250,Substratum,SUB,2,143,74284,55000000000,37142,7167369,deprecated,11153795,2.43225E-12,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
9,5410193,1523291627,0xff0b792c5e2a8fbbb84cfb611fc8011389358369e5d90e8bcebf45ea15b95496,246,0xe5998dd88e70ddc9962503d492a4d89ca030999e854daa6ed2b15e9159830808,0x61d80088c69f0874963dcd655de7e0b851ceef61,0xf3e014fe81267870624132ef3a646b8e83853a96,0x9a968bc4aef199a4f62be5503261c0b18eac5417,7770000000000000000,VIN,VIN,18,82,2000000,500999999,1727532,6197896,deprecated,10564820,7.77,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
10,5430249,1523580523,0x2637d589269ed4c57a15a078d10867fab5b8ba3d53a269e2f1f48a0079a63596,6813,0x9ce97d22bbd9f23b20fb8f69af6fd518ad490b8939390df9d03b7e9dbdafccaa,0x31a240648e2baf4f9f17225987f6f53fceb1699a,0x31a240648e2baf4f9f17225987f6f53fceb1699a,0x9a968bc4aef199a4f62be5503261c0b18eac5417,777,SAFE.AD - 20% DISCOUNT UNTIL 1 MAY,safe.ad,0,60,300000,300000000,240752,7880742,deprecated,10544764,7.77E-16,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
11,5782844,1528911635,0x7e6f6b023cafeb21949e13e3f5ef1720889bfb651b8583430d89ac831c1d0ebf,8,0x4592cc61f13ee30756cf0cfddd9125bbe9c6d0d4c53a8371892e9335bdf262d2,0x0000000000000000000000000000000000000000,0x7b2f9706cd8473b4f5b7758b0171a9933fc6c4d6,0x9a968bc4aef199a4f62be5503261c0b18eac5417,911,An Etheal Promo,HEALP,0,63,1800000,5000000000,1707653,4686097,deprecated,10192169,9.11E-16,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
12,5807510,1529276826,0x095cc9943972045c6141282ad0a4f7601d77da1e1ecc184157e582307133bfd0,13154,0x7fab2b22e418a092fd010a0e2888c661be2d1cad89b30ebeff5eeafef2d516da,0x2881badc252165ee04c697306fea572cd19d8549,0x5eac95ad5b287cf44e058dcf694419333b796123,0x9a968bc4aef199a4f62be5503261c0b18eac5417,600000000000000000000,AICRYPTO,AIC,18,35,1500000,3000000000,1446427,6064347,deprecated,10167503,600,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
13,6006914,1532219554,0x634dcf40bbd925c32323497fd3a0bb3174fde4c4466e203f4fd36d489ec543ba,3113,0xe25ff5431bb812aca2583d2f2d1863f217a939a9643fdc4cacc1230c0d3a2008,0xc7304352548c192f6ba59ee15e3e1ae9a5605608,0xe530441f4f73bdb6dc2fa5af7c3fc5fd551ec838,0x9a968bc4aef199a4f62be5503261c0b18eac5417,1080000,GSENetwork,GSE,4,42,3000000,2100000000,1984088,6640858,deprecated,9968099,1.08E-12,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
14,6220205,1535334013,0x12f89aba53156c0c22b94d20cd49425f671ed33da8ce2422fb85e77201122d72,1599,0xe272c541ab54f2a57cabc9fc9914156d22a59ee89bff59639bc7538071f786f5,0x0000000000000000000000000000000000000000,0xd4de05944572d142fbf70f3f010891a35ac15188,0x9a968bc4aef199a4f62be5503261c0b18eac5417,365000000000000000000,Bulleon Promo Token,BULLEON PROMO,18,28,5000000,2000000000,3707017,4899949,deprecated,9754808,365,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
15,6327354,1536888612,0xa0a3bae0aa2a40f090ed3642b44db8e81d19e66c4c8ac278d8062bae2aa5aa03,6304,0x0734d354bc1bdb90f335f1784c4fa7df003ee93187d40dcdfde00b3bbd61b53b,0x8e306b005773bee6ba6a6e8972bc79d766cc15c8,0x58b6a8a3302369daec383334672404ee733ab239,0x9a968bc4aef199a4f62be5503261c0b18eac5417,2155280322439225102,Livepeer Token,LPT,18,61,1360000,4040000000,1181303,7423078,deprecated,9647659,2.155280322439225102,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
16,6501920,1539357879,0x9219c9dc9381ee059c435a2f5ba856f873b6bc5e8270dc71f130ea56738c6c9c,562,0xff7727e7c997b71520a9e97ac584d574fb2a6f3096839ecb658f5c8fd2796d74,0x0000000000000000000000000000000000000000,0xaf47ebbd460f21c2b3262726572ca8812d7143b0,0x9a968bc4aef199a4f62be5503261c0b18eac5417,5,Promodl,PMOD,0,8,2000000,8000000000,1700410,4341420,deprecated,9473093,5E-18,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
17,6934507,1545511612,0xbc2aabbc95d2b2ec512e83c39125324f0487245c1394edc64d81b17283caf942,476,0x1c8e661cadb9a33e4da546a75d74a3e6db093b488f34c5bc0402d5447ad27433,0x4bbef1c26880366f804d0b2291d5ff7223d5880c,0x8d75959f1e61ec2571aa72798237101f084de63a,0x9a968bc4aef199a4f62be5503261c0b18eac5417,50312500000000000000000,Substratum,SUB,18,9,1100000,25000000000,52374,335496,deprecated,9040506,50312.5,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
18,6935537,1545526673,0x8634c4b7101f52137fc28532575e4d3f44a299588ae3cdac0cbaf20e9e91ea7f,249,0xbfe36f9711538fa52ee5abd802f93aeb6159eb54479a33f91449960dae4c2ff5,0xa5025faba6e70b84f74e9b1113e5f7f4e7f4859f,0x64049f6c2a5f31c171aa112c37b6b600151193cd,0x9a968bc4aef199a4f62be5503261c0b18eac5417,150000000000000000000,Bitcoin Executives,BTCEX,18,51,3204208,12550000000,2945509,6875509,deprecated,9039476,150,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
19,7104687,1548090763,0xf5cb2bd9a5802285761416447fa3fd045d835acfe075d1c83df0af52b4c400ee,424,0x14a80a0ffd430fe8ebac8774ba329a5cc014b4e3144bd6c0b3647998f19869f0,0xd30294d17aedecb84ade33ac9b979cbba662ca84,0x735af341f2d9ce3663616cd84ff522dbf62fbc1f,0x9a968bc4aef199a4f62be5503261c0b18eac5417,6413189405368502820191,Amplify,AMPX,18,105,100000,12000000000,52618,5918349,deprecated,8870326,6413.189405368502820191,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
20,7246345,1550701960,0x914d977179a2124d91cf892dd653062a6ca08eab7b7fd3717eff5ad7e0479a12,29020,0x8cc3f69040ce7f7f4558b98657161f105357229ebfd4bcfc3b4c786b0ad5ec76,0xd30294d17aedecb84ade33ac9b979cbba662ca84,0x735af341f2d9ce3663616cd84ff522dbf62fbc1f,0x9a968bc4aef199a4f62be5503261c0b18eac5417,6803462195117511004482,Amplify,AMPX,18,106,42000,8000000000,37618,4404589,deprecated,8728668,6803.462195117511004482,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
21,7400243,1553011884,0x8231f3ed8ab86599477e1aa9b156d8c37c6783f23efb98b9fc00d913feb75a15,55133,0x8ebda4e85bcea49e30e706cb58e440d78f3ba7fa13dddf8bf9c88b289ee0f59c,0xd30294d17aedecb84ade33ac9b979cbba662ca84,0x735af341f2d9ce3663616cd84ff522dbf62fbc1f,0x9a968bc4aef199a4f62be5503261c0b18eac5417,7455595110313641344570,Amplify,AMPX,18,120,100000,8000000000,37618,4797945,deprecated,8574770,7455.59511031364134457,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
22,7437429,1553511211,0x45b38a6da5004b3cffedba336cca24748bfed030d9361e5311e59fee3b33aad7,787,0xd1a2a1519537c1ea507b403eab613cddb4ea601062cfd3794575f07923dc1cd7,0x0f22d8d872bb7c3f377f21a64ff2fe16053ed34d,0xf6276830c265a779a2225b9d2fcbab790cbeb92b,0x9a968bc4aef199a4f62be5503261c0b18eac5417,50000000000000000000,XCELTOKEN,XCEL,18,44,3256328,1000000000,1679154,6335823,deprecated,8537584,50,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
23,7583299,1555476927,0x0389b08dec8e21eac0c90ca4815d9ebe8cda0292216167eb1737346274fc31e5,3315,0x38190a8d094f023d0891e4ed0386a2433e09d63940d73c80524b9e39d2d4686d,0x0f22d8d872bb7c3f377f21a64ff2fe16053ed34d,0xf6276830c265a779a2225b9d2fcbab790cbeb92b,0x9a968bc4aef199a4f62be5503261c0b18eac5417,50000000000000000000,XCELTOKEN,XCEL,18,43,3256328,4000000000,1108898,3199203,deprecated,8391714,50,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
24,7631000,1556121016,0x997cbd09b18a26312188a9b2f5c2e60b1c55a18bac362b768729c6ed0ab0a7af,4075,0xe8bfa7ba6425dcdc54aa55e293f78f0f81c23c6a22852c1bcb9d1ac1495ae8d1,0x0f22d8d872bb7c3f377f21a64ff2fe16053ed34d,0xf6276830c265a779a2225b9d2fcbab790cbeb92b,0x9a968bc4aef199a4f62be5503261c0b18eac5417,50000000000000000000,XCELTOKEN,XCEL,18,58,3256328,4000000000,929090,3706926,deprecated,8344013,50,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
25,8232922,1564234469,0x6d3b42855cdee2931e79b0fe80f1a328c6a573e4ca2a28bc5c4b5f1652d80ac2,425,0x2ca5226013007c6ea3cfd68b2bc4508cc2655ad996580556b75c71786e25730b,0x4b8641a9c81293b4a381e0798606e1e9f356ef15,0xa38b7ee9df79955b90cc4e2de90421f6baa83a3d,0x9a968bc4aef199a4f62be5503261c0b18eac5417,100000000000000000000,MonkeyCoin,MC,18,13,6000000,1000000000,5302681,5907783,deprecated,7742091,100,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
26,8658645,1569961864,0x8ae518bbbc30adcf42ec9180190d042b725ba98091048a39af23414be790924a,469,0x42931f55ace371d571b6174a975ab8ec1eeaebba4a59489e305c47ceb76fbc07,0xe5ccfca59acd6a3dea18a97a8d12a1fc5be09b13,0xbddab785b306bcd9fb056da189615cc8ece1d823,0x9a968bc4aef199a4f62be5503261c0b18eac5417,58488352519316025777,Ebakus,EBK,18,84,699649,1010000000,695339,8000544,deprecated,7316368,58.488352519316025777,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
27,9445428,1581209296,0x4fbca26eebd75bd9252bc132cedc596096b2fe09486f054da72bd1d6fa8cdf6a,194,0x8b2ee5041e994ef21e8886cbdee19f1cf77b57461899065792a6fe1d20f81d3f,0x312100debd03e6bca7991c55fad75927666ada98,0x5c406d99e04b8494dc253fcc52943ef82bca7d75,0x9a968bc4aef199a4f62be5503261c0b18eac5417,1000000,cUSD Currency,cUSD,6,11,9000000,1245487365,6165737,6725874,deprecated,6529585,1E-12,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
28,9532737,1582369005,0x921291de3afbd0bc79df785a10370b26afc0f93e98f7767277128c4e29787ba7,22,0x848c9a83d522a57445eecbe98cd05ca4cdf791df76d33c9f8ee8b34e0ed47b49,0x742257fe4c15af00394121253144cd65098d9ee8,0x02ba9b528425f9de08f961b88a10b03be8b8b998,0x9a968bc4aef199a4f62be5503261c0b18eac5417,50312500000000000000000,MASQ,MASQ,18,37,4500000,2000000000,3589460,6175331,deprecated,6442276,50312.5,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
29,13242940,1631878286,0xc0b6372a88a12eeef198b9d3c2da6079790e5e452fbc4dea2a46189d9533ba7a,27,0x12e8c568e364bca22d12ed6495e4dd013c9eeb5253b2e2c942c2a73aeed541d1,0x2ceee24f8d03fc25648c68c8e6569aa0512f6ac3,0x2ceee24f8d03fc25648c68c8e6569aa0512f6ac3,0x9a968bc4aef199a4f62be5503261c0b18eac5417,298131000000000,ABCHANGE.io,XCH,9,102,15000000,47806309260,5712628,12962936,deprecated,2732073,0.000298131,received,0x9a968bc4aef199a4f62be5503261c0b18eac5417
