,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3879239,1497570086,0x6cdd98e80f610ce856358cedb9ea8c9984e00a9e93d995b23bde6ca7979032b2,2696,0x99ccc222fd372899f751b23c92bb082ba594436e340ac66f9cd79b127b89d758,0xbbb1efdeb37cd33b899e6efbc1135722de89264f,0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,1000000000000000000,NEVERDIE,NDC,18,49,77221,4000000000,51481,1341028,deprecated,12095872,1,received,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
1,4031580,1500234081,0x3f35247c82bde34e5a727e716d6b782d2723ccd3773cd5273822b1a487452dc8,5080,0xa2445de6e8c5aa4a25ff47dd1086dfb8c298ff54883f63762f0ae59963996e62,0x2323763d78bf7104b54a462a79c2ce858d118f2f,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,500000000000,Civic,CVC,8,15,185907,30000000000,85907,1026254,deprecated,11943531,5E-7,received,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
2,4143373,1502434119,0x5c4894fb415e9614ebb0d93c7928fa05d244f8f6e05d67f9aedbdc84fe139961,1,0xe315e507579ef51cb6d4ef9dd5dd05bbb2a4bddd65b6107ab743cefcd3157e24,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x06820cb9c6c88956c4651542a666b634a8e72167,250000000000,Civic,CVC,8,1,51716,50000000000,51715,88558,deprecated,11831738,2.5E-7,sent,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
3,4156176,1502702188,0x12eca49a428f39f25cb00be2bf252ce92b74a281271218cb4554c004cb87be1a,2,0x35cac03fec525c015431efbc785ed25aca1f0bf795d595651b678816a34354f3,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,0x41e5560054824ea6b0732e656e3ad64e20e94e45,0x06820cb9c6c88956c4651542a666b634a8e72167,250000000000,Civic,CVC,8,2,51715,50000000000,36715,78766,deprecated,11818935,2.5E-7,sent,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
4,4236784,1504510704,0xf63ab3ab0a2704a32a4a568ffcdedd81a4477035ffbb72a855ad77910352cc2b,20552,0x66dbe14e65e39fd538b0e2dc3774571b57f511584e26b8f62e80184f0dd3f568,0xead6be34ce315940264519f250d8160f369fa5cd,0xe41d2489571d322189246dafa5ebde1f4699f498,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,6000995000000000000000,ZRX,ZRX,18,62,90000,30000000000,52234,1959702,deprecated,11738327,6000.995,received,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
5,5529984,1525059295,0x26864018396fa7f21cb8f7a051f4cee7f9adc0c73cb1ed413e864a5892103d6d,173,0x5472e1b176ed0af8e27e217fc07bea94424c3570ed3dca86f69c027ad4808c46,0xcf670587020e699517d0b6b7385273f354dadb04,0x88fcfbc22c6d3dbaa25af478c578978339bde77a,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,6000000000000000000,Katalyse,KAT,18,112,1526119,2000000000,1526034,7996486,deprecated,10445127,6,received,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
6,5689460,1527481846,0x8a06fa7806ff74b44266c60b824c8495b0b42c69756135d3df6131e27357d73d,4,0x69dc2cfcb1916095e7ff2b7188e2222b132532e7a1839060aab821d03b68a08b,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,0xe41d2489571d322189246dafa5ebde1f4699f498,0x240ac20909df8dfadc056874b7d63bca69bcc68c,2000000000000000000000,ZRX,ZRX,18,95,37106,20000000000,37106,3016756,deprecated,10285651,2000,sent,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
7,5743288,1528307164,0x1c8061ae774db6584775df4bc069c86a2fee36669f8a45416e6906ae913a819b,5,0xcf27a8d567d60c4fd5d3e5c8ac99bdd745c57d11e32edcd4d126862b1c30c1eb,0x7bb187351421c3affda57c7a5132e304f73167c8,0x97aeb5066e1a590e868b511457beb6fe99d329f5,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,9500000000000076000000,Atonomi,ATMI,18,29,400000,30000000000,212744,3604007,deprecated,10231823,9500.000000000076,received,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
8,5973239,1531722181,0x7775991537afa36f6b2b8edc8062182589f3d4535477ae748a01b75cb7001f0f,10,0xea5ee3c416b7a40d1a0cb9e972a2d3a525d8fd1b828ad346554093e3c7121fc9,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,0x97aeb5066e1a590e868b511457beb6fe99d329f5,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,9500000000000000000000,Atonomi,ATMI,18,48,220000,13000000000,74087,1955348,deprecated,10001872,9500,sent,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
9,5973262,1531722517,0xb14db7b20e1efcc57fa7457e0e39fbda56d717845c279a42cc783a1a7dc4fcdb,740922,0xc354bffca2a532da56c03f804a1c74305751c448c69c9b5330d345b0f136fcb2,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,0xa3d58c4e56fedcae3a7c43a725aee9a71f0ece4e,0xa77f8b10a44d360bde80705090ea22e53e7c8c81,116809863448044532698,Metronome,MET,18,25,410000,13000000000,96837,874209,deprecated,10001849,116.809863448044532698,received,0xa77f8b10a44d360bde80705090ea22e53e7c8c81
