,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,4254573,1504944150,0xc34e45d34e4f87b8da5475d5daed1a60aba231016d296edd81ae4e8df5d914c0,12368,0xd08cf60809fe0d157c949d1488a200d4fd7a6654b7a10a5f224559c22aaac81a,0x281a867c7c3a7d8ddc2498b6584b12828ccd44cb,0x4e0603e2a27a30480e5e3a4fe548e29ef12f64be,0xb73736bf83e375328e1412fb78a4802ae12aff28,1000000000000000000,Credo Token,CREDO,18,97,100000,24664144555,51762,4237871,deprecated,11720668,1,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
1,4269735,1505311727,0x12c3895e0f61f350295aab1c6ba75233d399ba3ae1f6fe86a287dacc7f036f62,22,0xed70c6a611ea6d2bfd832b0227a7af231fbe72faa007236b4052257d4097223c,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0xb73736bf83e375328e1412fb78a4802ae12aff28,373933677693117160986,OMG Network,OMG,18,59,3020000,4000000000,2935997,6533031,deprecated,11705506,373.933677693117160986,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
2,4279047,1505535120,0x6a5213e9d9b491819885448f9f8e1797c2e6a954e0965968452f95cc6e424781,20261,0x1807d584156c9edf7171085bb5d8115d2ba3ca4e31bc26290a6854d11c4efc72,0xd7d0f507e4ecb367f435939fee0605413cacddb6,0x94d6b4fb35fb08cb34aa716ab40049ec88002079,0xb73736bf83e375328e1412fb78a4802ae12aff28,100000000000,Cryptonex,CNX,8,59,90000,5000000000,52687,4812701,deprecated,11696194,1E-7,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
3,4332428,1507008542,0xac5247d0c82983882b8a20dea858bedd3d6f50df4946a82c2531930494661099,401,0xc86f2e0e45e5e52e1e952889d68cd76f8f0c41eb09504fe31dd14816b2779796,0xe36c0b6f8e8460c998453b802ef0af5d68b38f68,0xbd36ad3e10d3c057a2a7379124823f9e73d36a33,0xb73736bf83e375328e1412fb78a4802ae12aff28,69000000000000000000,EtherDoge,EDOGE,18,70,80000,3000000000,52420,2377405,deprecated,11642813,69,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
4,4363223,1507929695,0xec4279303873ad17f8a6c9349f9bc11a63f789d6b792c2138485a57fdccc7015,1865,0x3bc9467c6e9c762ecced748fa377f0d2c454673e1c5893a0a9232463515dccc6,0x683797ec3e59923f879d6ffa62cdc887394ab4cb,0x72adadb447784dd7ab1f472467750fc485e4cb2d,0xb73736bf83e375328e1412fb78a4802ae12aff28,1000000,Worldcore,WRC,6,62,200000,24000000000,124557,5839110,deprecated,11612018,1E-12,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
5,4395103,1508495418,0x7b2616628419292ca1ead10a2a3a43216e7e267edc4d717299ba6eb66139b31e,6116,0xa14510094d1ca4631cf3583691cfdf2e7cb62f78f48f05efe13f57853b7c46e5,0xcf645857de3db043c793fc51e5dace03d9537984,0x9b11efcaaa1890f6ee52c6bb7cf8153ac5d74139,0xb73736bf83e375328e1412fb78a4802ae12aff28,9900000000,ATMChain,ATM,8,96,80000,5000000000,51834,4912981,deprecated,11580138,9.9E-9,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
6,4411620,1508723330,0xfd62a4db4ac282bf5b292efeb206aa2f91b5b4910a6db38807528048fbc7b260,23,0xd43de817853dac1bf41fde08998b8cf1e02c022498cb52cde52a2122b6d84264,0xb59fdff77a6175dfa4fe7af4281a52f61611eaa2,0xab95e915c123fded5bdfb6325e35ef5515f1ea69,0xb73736bf83e375328e1412fb78a4802ae12aff28,2473289428921168713500,XENON,XNN,18,30,4712388,500000000,3130923,4140133,deprecated,11563621,2473.2894289211687135,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
7,4425402,1508914370,0xaa2af49dcb37b0b5c631a59adaa19a39b4ea4e951e84fbee4eed800ec740360f,82,0x1ac574ccbb88b8442c4e2977e48a245ee8c61f2f891362162c16f6d0ac2303d5,0x160e529055d084add9634fe1c2059109c8ce044e,0xdb455c71c1bc2de4e80ca451184041ef32054001,0xb73736bf83e375328e1412fb78a4802ae12aff28,500000000000000000,Jury.Online,JOT,18,3,6500000,3000000000,5930988,6001973,deprecated,11549839,0.5,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
8,4445684,1509196620,0xff5e40d7845a4ee90f28b09c3d6798c6a7ffb16787b7eb0927f249d7acdffdd4,242,0x6187bf4c4342e79c7d38b6d6131501f7f35daba683b5b3eee7383b5254efdbd0,0x6863b16d476d1975e3f9c1aa494148678a1e13c1,0x4d829f8c92a6691c56300d020c9e0db984cfe2ba,0xb73736bf83e375328e1412fb78a4802ae12aff28,1000000000000000000,CoinCrowd,XCC,18,18,3314010,1000000000,3313693,4615088,deprecated,11529557,1,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
9,4478300,1509653361,0x35cdccc39a32ba36cc87bdf035c4a6168175301bcd43de01d90821ab966359c4,3676,0xbe94c55029933eada41df7e35e71add18fff7357d331bcdf90920d5ff2ddb547,0x5586aec6f58086524753d594cec08c4318314299,0x0cf0ee63788a0849fe5297f3407f701e122cc023,0xb73736bf83e375328e1412fb78a4802ae12aff28,525509366512890788562,Streamr (old),XDATA,18,41,4000000,2000000000,2888289,4630641,deprecated,11496941,525.509366512890788562,received,0xb73736bf83e375328e1412fb78a4802ae12aff28
