,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,7515070,1554560570,0x63548d9a350999b5d5e171e109b9be85cca7129ddb96da9a9a339560df3c062d,13,0x52bb2470f2f79d170b842f9f17d1f93292a2bb56c6704c1ce96b8a7badd6255e,0x626bd127f02456da19b37851ffeb029bca7a9d90,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,5500000000000000000,Zilliqa,ZIL,12,88,52465,8000000000,37465,3288783,deprecated,8458487,5.5,received,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
1,7515078,1554560627,0x43ee2471ae232115f771aa60aca8d6d49e288b5a4619278f470f18a7adac8ce2,14,0x64dc153108a9f7e1ae13abda287b36e7b5ef3527ee3ce63e3e23eeb515df3329,0x626bd127f02456da19b37851ffeb029bca7a9d90,0x83984d6142934bb535793a82adb0a46ef0f66b6d,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,4964150725,REMME,REM,4,60,129009,8000000000,109816,3097392,deprecated,8458479,4.964150725E-9,received,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
2,7554335,1555088237,0x2812152d2b0017eb40397789b3754a56c75b22eefdc70af8b9af1b20cbf219e2,0,0xf20911901f581018c665204cc335173724ebff97b8a5cb160657989b218ccc28,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0xf5e5360c4c51c767de9d759797b3bc9abb507ce6,1000000000000000000,Zilliqa,ZIL,12,54,52465,41000000000,52465,1318255,deprecated,8419222,1,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
3,7554340,1555088352,0x6db21a44b499e026721d5ecc45f42c3d2672929ca2c81df7022e670b3ee0e482,1,0x04eac7a337af15348beb4831ea82bdba1453417eee6d0906c772fb71ba5dbbae,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0xbe3bb33826cdc7dea7d7aad4b66ae53d6c0f4a50,1000000000000000000,Zilliqa,ZIL,12,14,54444,41000000000,52465,614712,deprecated,8419217,1,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
4,7554348,1555088437,0x78d7099d5dc1804b70426611b1cf0f1fd3bb45a993ddf48ce9d48317722a6c4f,2,0x31c233b93ce1f6169934c9f4e29133a7fa356181dab7b0c8cacafe440b3b92ba,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0x0f13ded86dd2473565b73301dc4c25be020fbeac,1000000000000000000,Zilliqa,ZIL,12,2,55400,41000000000,52465,110964,deprecated,8419209,1,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
5,7554351,1555088501,0x6d639e85d40bf46a17f2699c79590efa32f252fc9c3479f536cc15a8fda8b1f8,3,0xbc5884a4f7ac86aa7d19637611921abca139ad16cd18ca4d7ff92a957a1f8071,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0x88d02b9499f22e4e6e90fa8b85695c268bb8e49a,1000000000000000000,Zilliqa,ZIL,12,5,210000,41000000000,52465,237517,deprecated,8419206,1,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
6,7554362,1555088615,0x4039a23dd3aac4a820c9fdfdb9d74d56078374a6dc68a6e10ecc61da1468fce9,4,0x045ef59cbb33bdeecd519c5521a2fa35e9ae09b6bc6c15fa90054847eba146b4,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0xfbbccad87e2f45c3f34348fe8767557ef8cb44cf,1000000000000000000,Zilliqa,ZIL,12,60,215000,41000000000,52465,1425746,deprecated,8419195,1,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
7,7554368,1555088685,0x55c4051a8d48bb2c35f4c9e3701a561513f42f26610d68007ca1ee7a6c2d37a2,5,0xdd292fd03d0c2b038dcece62a3246f1075b11e8dd80b09f2a2a85e67a191a96a,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27,0x7e768fa8a7e2a3a0b7a297b153277a98836ca542,500000000000000000,Zilliqa,ZIL,12,1,210000,41000000000,37465,58465,deprecated,8419189,0.5,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
8,7554375,1555088737,0x8aebe20fb8ded01a4af4cc6c1f63746f7c8bf7eaedff16c96f54df5c31b1b659,6,0x2aa95cc5d4782042a3ca27d3a3c9870634a8978586b45bae830f20c390fd7251,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,0x83984d6142934bb535793a82adb0a46ef0f66b6d,0x7e768fa8a7e2a3a0b7a297b153277a98836ca542,4964150725,REMME,REM,4,6,215000,41000000000,109816,246724,deprecated,8419182,4.964150725E-9,sent,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
9,15569878,1663618655,0xeada13cc66a14a7305a494836f0a1fea3d8dbc877f5f7a050ad06a1752bdb390,10,0xacd33e87014023c30c3e87d6c53c71b5bafb8fc89fb01111214ffb373ef750e0,0x8f63610326cea078042c474434c4305bdc43e6bf,0x7495e5cc8f27e0bd5bd4cb86d17f0d841ca58ee4,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf,10000000000000000,Arnoya classic,ARNC,18,109,8943480,12678465037,8943480,17519732,deprecated,403679,0.01,received,0xb8f2b53063ded859a3fdb96d43dd3d37253f47bf
