,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,10987671,1601791633,0xaaaf04429e8f047aac2947beaa0e091d107f983b4a08fa7540ba7a9391f9e7f1,1243050,0x4da248a5cc3bdbaeab7017b3df1aae245a6cfe52b3611a48a2eb42777e8ec61c,0x46705dfff24256421a05d056c29e81bdc09723b8,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,3014528770,Tether USD,USDT,6,62,100000,49000000000,56209,2803911,deprecated,4986082,3.01452877E-9,received,0xb97bc55319c3dea418a04802084101be7fff3a21
1,10987752,1601792618,0x421c890a805097e5d7a96d126af8e65fa69844547943d619eb5f592ea8d34575,1475,0x9fde7ee74367b8b8ac49d8ac95f5a9cea76328471b61dbced6e534b7d3f1b970,0xb97bc55319c3dea418a04802084101be7fff3a21,0xdac17f958d2ee523a2206206994597c13d831ec7,0x41f8d14c9475444f30a80431c68cf24dc9a8369a,1500000000,Tether USD,USDT,6,233,450000,46000000000,274384,11514766,deprecated,4986001,1.5E-9,sent,0xb97bc55319c3dea418a04802084101be7fff3a21
2,10988234,1601799331,0x907ed8e08217e439452bf8037b1b5c8d24009771e07fd46b0149af716385afe1,40,0xcba9a5e1808d8aa988c9d0b1c36a3e9af7a12276198d53b4d22d68477a3c52c4,0x8db6add802329202401be5a9ad16a9fafc4d2489,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,3000000000,Tether USD,USDT,6,31,60000,52000001459,41197,1929174,deprecated,4985519,3E-9,received,0xb97bc55319c3dea418a04802084101be7fff3a21
3,10988247,1601799446,0x8897f2f44d010e031572edf770e4c932d1a05a831e0d63ad9a225454f8bb168f,2,0x681b9a05839503b6d8871bb7ac09386e21414081898c67ecd6dcd4b8ebfddab6,0xb97bc55319c3dea418a04802084101be7fff3a21,0xdac17f958d2ee523a2206206994597c13d831ec7,0xdf139af9153eb2b0c2d6014416ce63cf30aa3fe8,3591000000,Tether USD,USDT,6,152,60000,36000001459,41209,10919442,deprecated,4985506,3.591E-9,sent,0xb97bc55319c3dea418a04802084101be7fff3a21
4,10988251,1601799499,0x24bf182672f3a43a51ba56bd09a345fdb18a080b939803e1018a598dfa0b3b50,1259495,0x39a217a0c92aaf0ee744d35aa1e4b85afd6607bc81ddd59f4c2c73a89f1dfd97,0xe93381fb4c4f14bda253907b18fad305d799241a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,497000000,Tether USD,USDT,6,60,100000,53000000000,41209,4085607,deprecated,4985502,4.97E-10,received,0xb97bc55319c3dea418a04802084101be7fff3a21
5,10988918,1601808432,0xf092239fed66afdc9726038dcc7ed8763115475cf21d6fcf72cd176ab5911f71,483665,0xea16f86494a2d3e6bbd20524d4188b9183b8b13070f9deb370936eaf232ef569,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,6138759000,Tether USD,USDT,6,20,420000,115000000000,41221,1281345,deprecated,4984835,6.138759E-9,received,0xb97bc55319c3dea418a04802084101be7fff3a21
6,10994077,1601879011,0x27bb4049eeecb814079b0487c64dca9d04e9fe52558f6f5b87abd98bb2b849bd,1338206,0xa908174056d81efd4e95592edc958534a415156cf4fac58fce5a1ef546ffd73f,0xab5c66752a9e8167967685f1450532fb96d5d24f,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,5000000000,Tether USD,USDT,6,77,100000,82000000000,41209,4588608,deprecated,4979676,5E-9,received,0xb97bc55319c3dea418a04802084101be7fff3a21
7,10994178,1601880325,0x78f647d4fd117a5026966ab264bcba00394f260d3a3965a94ab8b0dfeb8d5f41,1344663,0x6de14a1805507c048562100f8600a80946cc6f81c588a4eff4c652b36b441d58,0x1062a747393198f70f71ec65a582423dba7e5ab3,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,10345739829,Tether USD,USDT,6,83,100000,82000000000,41221,4141939,deprecated,4979575,1.0345739829E-8,received,0xb97bc55319c3dea418a04802084101be7fff3a21
8,10994501,1601884689,0xb5791db64908ff46482d47bb07cdcdfc77662684923092ca86694858a91c732b,4,0x90ad10b6e1a99cf1132553bdfc42f5a0b7bf288d67f015ace223c9b93f78038c,0xb97bc55319c3dea418a04802084101be7fff3a21,0xdac17f958d2ee523a2206206994597c13d831ec7,0x8db6add802329202401be5a9ad16a9fafc4d2489,20000000000,Tether USD,USDT,6,221,60000,107000001459,41209,12081093,deprecated,4979252,2E-8,sent,0xb97bc55319c3dea418a04802084101be7fff3a21
9,10994757,1601888000,0x91e6a98b20639cf882709f2ad77e8eff3735d888e0275bb006641277fd739b15,485086,0x7674bcba2d72e1fcfdf54524c00c61381c6b69a1018590b504228a20ad88f2f0,0x5041ed759dd4afc3a72b8192c143f72f4724081a,0xdac17f958d2ee523a2206206994597c13d831ec7,0xb97bc55319c3dea418a04802084101be7fff3a21,6577536000,Tether USD,USDT,6,2,420000,153000000000,41209,209078,deprecated,4978996,6.577536E-9,received,0xb97bc55319c3dea418a04802084101be7fff3a21
