,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3904563,1497985627,0x024f19f7546c53b6bbc53399c31b6572ac8bbe721b7574544021fd51ac428896,6,0x25eb3afcb5bf57d4313e0332d77bbfc969bace29829c0c27e2c663ecb29bb7b5,0x0000000000000000000000000000000000000000,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,9000000000000000000000,StatusNetwork,SNT,18,42,200000,50000000000,124481,2617249,deprecated,12070734,9000,received,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
1,3904711,1497987883,0x072ce950a5383e67803be7626b674354b26aab712abc943965bfb88b1409f195,7,0x7cdc47c352e732a4c97d1f0b1f638e898409f79f3badb2505178cce450761c90,0x0000000000000000000000000000000000000000,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,51100000000000000000000,StatusNetwork,SNT,18,29,200000,50000000000,97176,2999409,deprecated,12070586,51100,received,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
2,3907602,1498038596,0x3def67cf2d3f1bcb0bc873e434ee83ae76934e71f4bb2e00270cf2f3ef891a9d,8,0xdaf1b79af11f1eeb8ac90556bef0b6986d4e77075af7aed0d8f145998675393e,0x0000000000000000000000000000000000000000,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,10500000000000000000000,StatusNetwork,SNT,18,19,200000,50000000000,97176,2500471,deprecated,12067695,10500,received,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
3,3913680,1498146395,0xeb2d19aca6f97d19778f5533b0d33336d2d1ac59cc89ec7f579d17965b9acc7e,18,0x51ce484fff3a225abfcca2937322bb56e845ccc9a9e38636efb23d6843aba0e7,0x4838021cd9031cc2aa780a0b07dfa671fcaee2b6,0x1f573d6fb3f13d689ff844b4ce37794d79a7ff1c,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,50000000000000000000,Bancor,BNT,18,31,60000,45245738386,52408,1439972,deprecated,12061617,50,received,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
4,3947027,1498727657,0xa55c56c6e7d5e97c7d19034aac0edfd7dda837bc1b4f691a1ea32da829ab4956,17,0x9c76f5b15ce63a4adc56ba26f03e48db5484c855bf3bf61ee93459a362b65595,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x4838021cd9031cc2aa780a0b07dfa671fcaee2b6,5000000000000000000,StatusNetwork,SNT,18,47,180000,4770053632,103435,3367482,deprecated,12028270,5,sent,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
5,3947064,1498728536,0x27dedab42a7ebaf976a5c18d95c7e31f14dd59a86d16ae1e92d4feda93efd3d8,18,0xe3ca6ff98e1fe97814ca8ec7a33322e9ccf094e9625772467ee14c758575e5a6,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x4838021cd9031cc2aa780a0b07dfa671fcaee2b6,25000000000000000000000,StatusNetwork,SNT,18,89,180000,21651024657,91258,3053274,deprecated,12028233,25000,sent,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
6,3947265,1498731913,0x6c1018cd2700685e07c14a670a70091ad6e9af9d33e3233fd31714c4681d3a88,19,0x649bf4de73e9cc2dc7689396ca80c421ef2461a7d85a8d2503ff2734b04a2e30,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x4838021cd9031cc2aa780a0b07dfa671fcaee2b6,145000000000000000000,StatusNetwork,SNT,18,50,180000,4000000000,91194,1690124,deprecated,12028032,145,sent,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
7,3947640,1498738106,0x56c6861bcbcebaca679f0eaff60928a75a1deabca10931c23b92c3711e87c5da,20,0xd09d2c4cdbe31750005282b6b7a23d02f7cc8c9215284144d89c451d279ac453,0x4838021cd9031cc2aa780a0b07dfa671fcaee2b6,0x983f6d60db79ea8ca4eb9968c6aff8cfa04b3c63,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,1465000000000000000000,SONM,SNM,18,27,60000,31500000000,52143,1260997,deprecated,12027657,1465,received,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
8,3966394,1499060346,0xed19dbabf06507e174031cfd95dc9d30c12e4bcc857b8fc9dc1a0e0851791f4a,21,0xdf1f5b251d754d8d1e1195fc130e3dcf9cca5f0e54f720455f1cf73b1125a8ce,0x4838021cd9031cc2aa780a0b07dfa671fcaee2b6,0x43ee79e379e7b78d871100ed696e803e7893b644,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,197000000000000000000,UG Token,UGT,18,98,60000,30000000000,52235,3915790,deprecated,12008903,197,received,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
9,3997814,1499597159,0x43dd1f79c3c2a4fd952aeb226d18b97540777ce8c7f7e058f2c151188a48b48c,21,0x8711c36a998c00a6ffb1d55c7a4ac0f7b06e715e7b9833b124f7aaa0471f9e61,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8,0x43ee79e379e7b78d871100ed696e803e7893b644,0x96481c573e5e9ddd7272d235f123676f282685c3,197000000000000000000,UG Token,UGT,18,11,60000,13497326592,37235,554714,deprecated,11977483,197,sent,0xbe83401f7f75dcf54a38e2a1dd72fc3363863eb8
