,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3800064,1496263582,0xa5d3f17e03f79f59d66e69cecc92b0cdc001d47bfad05fa1f92b3f5db086c02f,19768,0xb2871db98caaef1ecb81bbf9b272b7e156c51a69429376e4da7507f4995993ec,0x5e575279bf9f4acf0a130c186861454247394c06,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,1400000000000000000,BAT,BAT,18,16,150000,27153872648,51788,945499,deprecated,12175309,1.4,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
1,3804383,1496334183,0xa009e5d5169f8a67510c929fcd411b0d37b0ad917b837f495040bcf3cb4dd0f1,38,0xdb73e907b5ef73f25c1107466bcb408ef4e09a40f93e303cce1f5b7d3a6b6aaf,0x00b64b216ead6387ef322284cb9eed5c0b5c58cc,0x0d8775f648430679a709e98d2b0cb6250d2887ef,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,10000000000000000000,BAT,BAT,18,60,44146,20000000000,36788,3764014,deprecated,12170990,10,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
2,3837742,1496889023,0x534554c499dc9c58bb00c890a20c12dd5f58d29f56cddac712dbea00eafca7a0,1131,0x814cc1bddbe0b2304a5330bb6372dc0992b1333d3986a3cce0494d6f0f57109b,0xa172b914a8f0a7c28439e09eb6ec5f3d18d0f67d,0xa54ddc7b3cce7fc8b1e3fa0256d0db80d2c10970,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,1000000000000000000,NEVERDIE,NDC,18,2,77221,22074227857,51481,93481,deprecated,12137631,1,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
3,3906308,1498015619,0x1c611ce73527e6579688c51d2e45a7def8f058c162be231427ef366e780b47c1,3,0xf0b02a713e0e5182a8860dec69d4995cdf021ea9d733baa50c3d6a65ca8f9962,0x0000000000000000000000000000000000000000,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,34690000000000000000000,StatusNetwork,SNT,18,44,200000,50000000000,123028,4569183,deprecated,12069065,34690,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
4,3944124,1498677569,0x87b851c1b9060e9691435046a4281a3fed3af5a26697ebdda9860bbeb8e2502b,7,0x71a6fa7b2e3762886497ad961a2f2b7282929dae41d9b12b8c5de9a84f7c2d67,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x39334773afa5426441dbb3e339d116680e9f2a05,19200000000000000000000,StatusNetwork,SNT,18,61,200000,20000000000,103499,2395485,deprecated,12031249,19200,sent,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
5,3944188,1498678895,0xb33faf485eebc1560ea2d14f33dc79a20d0e5f5ce4d881b67c12d4057d2b1b67,8,0xa292186f9bce5e9a45f563461ffdf2f2827545da7cd4436619afb80bfadea4f7,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x8e7bd08d5f4d737ba761abd5b11836e6fac5ad33,5100000000000000000000,StatusNetwork,SNT,18,42,200000,20000000000,103563,2724793,deprecated,12031185,5100,sent,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
6,3944272,1498680295,0x9262109a33f779391a0854fdfd12f345678f4fb5d26a81f1c0835524aea60e1c,9,0x44136aee5d4a4ff90937f32b4d286ae05b6079a4dbdc4d65defd191109756978,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,0x744d70fdbe2ba4cf95131626614a1763df805b9e,0x2594c6f4abd825c5285585bd09b530d2044a867d,10390000000000000000000,StatusNetwork,SNT,18,87,103563,20000000000,103563,2537793,deprecated,12031101,10390,sent,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
7,4267890,1505266942,0xa8a26e078677a3458c509653f3fe1bca46d7c7a278e72cae3c9bfb07c11a58c3,13,0x21da7c1629c8b771662ae3a0befd4d763dc1a14cacfc19b1a36edba8384ef5f1,0x0000000000000000000000000000000000000000,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,29998431200000000000000000,Kin,KIN,18,71,200000,21000000000,92068,4353223,deprecated,11707483,29998431.2,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
8,4274838,1505434521,0x08327133b332decb97e5c6eb4cd0abe2f24d2a52003f3b50aea6fa37b098eb60,14,0x83d791931454c71b5697c9157c5c451e9d2fb5d2eedfc0687bf6db7b32abc5f3,0x0000000000000000000000000000000000000000,0x818fc6c2ec5986bc6e2cbf00939d90556ab12ce5,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,43418782000000000000000000,Kin,KIN,18,39,200000,21000000000,62068,1447293,deprecated,11700535,43418782,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
9,4301072,1506066318,0xb65111b1671e2a897afd3eaa8243a48ac02c4314a18d07b243e9089308254ca9,4532,0xf92cb47745739d9a61566a22b4f45c140c3e0d57be4875bc2b6668bf05c4ee0a,0x862cb5b6eeaafb26ebb137e0c3c5d7728800439a,0xd26114cd6ee289accf82350c8d8487fedb8a0c07,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0,18532124804441739,OMG Network,OMG,18,17,3020000,4000000000,2910245,3908242,deprecated,11674301,0.018532124804441739,received,0xc95289ffc94e97f60fe85a1a31ca850679f9eca0
