,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,3970722,1499134430,0xfd077a8278628abaaa75bb6e0113847fbe1024fe477f0d4eefad24d2b1b857eb,148,0x50923a728e10ebea4da5cd27473d5cb56a2d77236c2794cffe6315c09ca050ec,0x9ba71efaad1e9e4ee2cea520b9ac3a37c041956a,0xa33e729bf4fdeb868b534e1f20523463d9c46bee,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,100000000000,ICO,¢,10,56,152229,8000000000,52228,4198005,deprecated,12004652,1E-7,received,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
1,3971620,1499149644,0x80e4b6375f916ed19078fdf646dfb6569acdd0724c55c1590d717962378bb8b9,3523,0xb16557cccc9a517cd04b8b8cb03bd0885b377425ae6b74f20022725ac1fe40d7,0x53d4b95abb5d177892e669786f3ed31eee67e1bd,0x43ee79e379e7b78d871100ed696e803e7893b644,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,1000000000000000000,UG Token,UGT,18,19,152172,8000000000,52171,958881,deprecated,12003754,1,received,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
2,3976852,1499239541,0x787183dba42721e6720407dcee10749c72a66f435a11546de74637080b45a885,735,0x17af64939553fc1b4ecc80eb618fb1752c11bf96b6485a1f62951648f2336b9d,0x9ba71efaad1e9e4ee2cea520b9ac3a37c041956a,0xa33e729bf4fdeb868b534e1f20523463d9c46bee,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,211799058000000,ICO,¢,10,42,137357,10000000000,37356,3639858,deprecated,11998522,0.000211799058,received,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
3,3976891,1499240088,0xab6f2eb25f506c15f830e1b586f327ab55216d468c905d7b894fb06f14e6e224,10,0x2f1a67d96cbab272397cc77d3ad094c17d4e77c2e03c71bffc35bd6cafb49c56,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,0xa33e729bf4fdeb868b534e1f20523463d9c46bee,0xfe90f1a5c184baae0ee8799c0db2d052dc9a16bc,10000000000000,ICO,¢,10,66,84000,20000000000,52292,3280708,deprecated,11998483,0.00001,sent,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
4,3977045,1499243082,0x1881d4c0d03d48c0afe71afefd09c9406b178c0e9a570197954dc4e0889d9310,11,0xbaa90b0765b57567a3aeec10b59b3c2e0621e8b1ea4f8877f257629822a65f2e,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,0xa33e729bf4fdeb868b534e1f20523463d9c46bee,0x4aa0af40188d10fd9ccf07adf48adbdbc5869c8a,200000000000000,ICO,¢,10,40,84000,20000000000,37292,1931723,deprecated,11998329,0.0002,sent,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
5,3977216,1499246080,0x573adf4d1ac621ab4a9633c02aaa0116c652305d048aa8d16a424ec35eb19d16,12,0xf9b626631dcc33b878c5597cd3ccaa01ca344692df0dbe46e4dfa3b84795a7c6,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,0xa33e729bf4fdeb868b534e1f20523463d9c46bee,0xfe90f1a5c184baae0ee8799c0db2d052dc9a16bc,1899058000000,ICO,¢,10,128,84000,20000000000,22356,5739538,deprecated,11998158,0.000001899058,sent,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
6,3993680,1499526802,0xb24ff4edfd08e62d015faf086059bf701112b12836edf21d38fb6efc7e87a890,1015,0xfcbb9c15d3690e3e3221d9d4fc96de5aafde6913667205a449e617549091bcd6,0xa09ecfc812b8cecd94e8cf49f86df86ce36d8d0c,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,985642105260000000000,TenXPay,PAY,18,119,152130,8000000000,52129,6342195,deprecated,11981694,985.64210526,received,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
7,3995853,1499563861,0x8ff8dfd350deb855f853a5f1acfa39e3d150fa771255720fc5ded6af3daa0553,14,0x335663349de1dccfa93dec158b7b9816afab69057940b62d14b0021298d526a7,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0x7dbc15f4fd61e66193b2f366f9404e0087731a03,985642100000000000000,TenXPay,PAY,18,38,60000,21000000000,52065,1735424,deprecated,11979521,985.6421,sent,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
8,3996011,1499566577,0xc89d7a4b2acff4cc3672c99d23ee98875cdc69ab16be04ed585f6470ae433e33,2257,0x62784651b64dee2c30098bc6c7721f1a821600250efc8ccb6abbe06da8e7c505,0xd585ebefe744b466080c990cd0dea3b6eadf0a08,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,179100000000000000000,TenXPay,PAY,18,53,90000,47150000000,37065,3229789,deprecated,11979363,179.1,received,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
9,3998735,1499612920,0x49ef60a0a5df50792f4104d3b722990ad3019df5c1558ca08d17754e004fb183,26,0x7217bb206fb25bcd8006579bd930671378c3737d29b69da8f17590d8b3f0e7a8,0x5134fa56e8535aad77475e862dc7c49832a5b116,0xb97048628db6b661d4c2aa833e95dbe1a905b280,0xc976978baa40ae1cccb15105c9e3c025a91b92c1,810500000000000000000,TenXPay,PAY,18,86,137066,8000000000,37065,4369960,deprecated,11976639,810.5,received,0xc976978baa40ae1cccb15105c9e3c025a91b92c1
