,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations,eth value,txn type,AccountId
0,5762382,1528599678,0x2d438bcd1f9f3441baac4e973ffc4a2f5a28c945ecc47eb0f7a61d54e901eb22,13,0x4170951f65a34c3175305e903b6a1b30b5019c9c2139a4b873f7dafa3d73d2ff,0xdf9191889649c442836ef55de5036a7b694115b6,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,2619542080280673054892108151,Pundi X Token,NPXS,18,0,521000,99000000000,38229,38229,deprecated,10211118,2619542080.280673054892108151,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
1,5762396,1528599894,0x4e98c671deaeb5ce2b2f36a5000392a45652e7d98cdaa688dd4cd6bbce333fad,1,0x26e6cf18e4a3e5643537c02e248d42339c2d4ec17ce79f924978cd840f67027c,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x2a0c0dbecc7e4d658f48e01e3fa353f44050c208,26195420280673054892108151,Pundi X Token,NPXS,18,25,250000,100000000000,73693,618604,deprecated,10211104,26195420.280673054892108151,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
2,5849886,1529900481,0x5d7fb2c6de470b529f4bacfb8e2af2c91878c00b885a52dc2ba61cf4a6866b0d,8,0x4b3e5b3c2c1a1e71785f0a8f01298632a1e0424e25c89e29978c617fb0a08332,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x4901494636635c3c1233b7f09ae9591d15cfbb1f,18518519000000000000000000,Pundi X Token,NPXS,18,21,650000,41000000000,53037,590340,deprecated,10123614,18518519,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
3,5849886,1529900481,0x4e7e7601c812c0dcc6499e20ca45f82c17316ea292d2c83f7972d4541343bcd2,9,0x4b3e5b3c2c1a1e71785f0a8f01298632a1e0424e25c89e29978c617fb0a08332,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x4901494636635c3c1233b7f09ae9591d15cfbb1f,18518518000000000000000000,Pundi X Token,NPXS,18,114,150000,99000000000,38037,5306956,deprecated,10123614,18518518,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
4,5849886,1529900481,0x51dae5f96c04f9349230171e049dabc51e1b70397177816ff3868ca3cc8a12ce,10,0x4b3e5b3c2c1a1e71785f0a8f01298632a1e0424e25c89e29978c617fb0a08332,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x4901494636635c3c1233b7f09ae9591d15cfbb1f,18518518000000000000000000,Pundi X Token,NPXS,18,123,550000,41000000000,38037,5707012,deprecated,10123614,18518518,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
5,5853790,1529959865,0x50d51ed17cf9cf4a86e585d6991ac4eb88b310db457c24171a6ce685d2af7091,12,0x7526643208628332e26b76ca75626caa300ae02fcb2db817509c959d05c27b65,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0xb07af2f34b30fb38cf18bbdca5134df170278de1,9090909000000000000000000,Pundi X Token,NPXS,18,35,450000,41000000000,53037,908009,deprecated,10119710,9090909,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
6,6076037,1533229964,0xfb0af5ce471ee93b7141d0c3f4d9752e98124508c288027969dba833f50e915c,4082,0x8ce3fde0e1c8966f2e0977594d463df38cb4fc6227cba689005d50b4d27ff4cf,0x7b0478f0f7822d2e4289e669537874ca9f003e0f,0xcdc7faa3a06733d50d4bf86b5c7cd9460c35691e,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,888888880000,TOPBTC,TOPBTC,8,27,60000,1100000100,52755,6505711,deprecated,9897463,8.8888888E-7,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
7,6082974,1533332279,0xd34aea45c90473daf0b1a4f61cadd8264260786568047cc4a297484daee85b82,14052,0x3eb64949f026164a597df3c53217c3f41c22cd488c5997ebcfe6b0c6c76b5af0,0x7b0478f0f7822d2e4289e669537874ca9f003e0f,0xf6317dd9b04097a9e7b016cd23dcaa7cfe19d9c6,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,8888888880000000000,TOPBTC TOKEN,TOPB,18,64,60000,1100000100,52835,7275479,deprecated,9890526,8.88888888,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
8,6097800,1533546355,0xbf31e63d8fd442a81334da3161634e2059c50658db34c46c6e8c02f9b1fa90fc,53,0x4d843efc87e4a384cbd500c9ebc2a2ccf9b1ebfd915358384e6b7c8d5a900e55,0xa7863be53c93f670b640d1248e52c6210cd16c9a,0x48c7cdadb1313076efdac3fdfb8427b4f58c5b7f,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,40000000000000000000,DA$,DA$,18,39,4150000,3739526623,4106168,5576363,deprecated,9875700,40,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
9,6318498,1536761312,0x41eeeaabfc5b0b553a1a90b7ccab74a0ba15a861fec0afc63b25ac8d29937e70,13,0xb170abf38770c246c31ddfc698ed5941bfcd5cd87dbf8efbb4ffd3762353f9a9,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x2664c334c46635f7845487d3bab16992fc83a93e,1000000000000000000,Pundi X Token,NPXS,18,168,190000,98000000000,52845,7099130,deprecated,9655002,1,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
10,6318504,1536761418,0x866857a2d6aa106fb49874b33f4f14f2392e6884de0d9c790da162df405b5ab2,14,0xfb2b57cfccd105fda55d95d6fe3ccde465fa7ee4a2e080b8a2184c829b656e09,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x2664c334c46635f7845487d3bab16992fc83a93e,357142857000000000000000000,Pundi X Token,NPXS,18,2,190000,98000000000,38101,80101,deprecated,9654996,357142857,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
11,6318835,1536766118,0xab6c5d2ed2e5cf4aba34e1c9bfe8bafddf25aa4fd401a002e1f0d06d99e50eb8,16,0xc35e4c4305b5387b31679c7d53c74481127f96fdca0420fa331a8b7ca503479c,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x2664c334c46635f7845487d3bab16992fc83a93e,1085778669000000000000000000,Pundi X Token,NPXS,18,52,150000,99000000000,53101,1163715,deprecated,9654665,1085778669,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
12,6318886,1536766974,0x8e826516044dcb5d56d7fbaa71dc2579b8fa122de6495e64f178b52196b437bb,17,0x832893a4ed652e29cabda363944fc6dbd9eb453fa978e55bda01d653e0fb95a9,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,0xa15c7ebe1f07caf6bff097d8a589fb8ac49ae5b3,0x2664c334c46635f7845487d3bab16992fc83a93e,1085778669000000000000000000,Pundi X Token,NPXS,18,0,160000,99000000000,38101,38101,deprecated,9654614,1085778669,sent,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
13,6501710,1539354743,0xde8af9490fcbb782e1f9ac6bdb281c83f3f1f43ba7d700d8d9866c3a8a3dd2e6,365,0x7ba647aac3099042b56c9ada1444fdb40dce5166d43a3d864513e91e260d963a,0x0000000000000000000000000000000000000000,0xaf47ebbd460f21c2b3262726572ca8812d7143b0,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,5,Promodl,PMOD,0,24,2000000,8000000000,1700026,7483553,deprecated,9471790,5E-18,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
14,6569685,1540313268,0xe406a37d21418382a025a33015d5b25ddae4c87c3fe7241f28199c4298e15c8c,865,0x11367a3d5c81435a54148b8d5d7f0ac31bf2214ebef2a4329babda93b3ede858,0x58fed907b264f0177c3fcbd76769c873805d6e40,0xaf47ebbd460f21c2b3262726572ca8812d7143b0,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,5,Promodl,PMOD,0,32,2000000,10000000000,1364025,2588114,deprecated,9403815,5E-18,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
15,6707217,1542259647,0xb0b30ac8c58cd1a7bf81468af77d1526d2fa5035137f76a911f5a0cc0f0d3b7b,41,0xaa5dcb715d5cf2b53e49cca3d1505b5ab4bb97ea903dfa39fb9036f506756fcf,0x668f42819a49be08bb8c6ae2516659c473b496c3,0xd20bcbd56d9d551cac10a6bc2a83635bfb72f3f4,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,88000000,FUND,FUND,6,2,7779075,3000000000,7629075,7677809,deprecated,9266283,8.8E-11,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
16,6864707,1544499708,0x0fcb3ec0c1f93fb624978e0cff805801f4fef37131e5272a0406fc933ad131cb,29,0x80b724600a2498c36a17a2a0b37d66dd41711f0084ae95f4ea1b6359b1a6a1d6,0x8fba840decc346a788815d98101906895ded31fc,0x1b5855d39e0a79a9f282478bd7191212a49b53a2,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de,800000000,GENES,GENES,8,35,5651176,4000000000,5486176,7569199,deprecated,9108793,8E-10,received,0xf6884686a999f5ae6c1af03db92bab9c6d7dc8de
